location,treatment,cage,replicate,cyanobacteria,green_algae,diatoms,total_algae
AR,C,1,1,0.02,0.01,0,0.03
AR,C,1,2,0.02,0.01,0,0.03
AR,C,1,3,0.08,0.03,0.03,0.14
AR,C,2,1,0.13,0,0.1,0.23
AR,C,2,2,0.15,0.04,0.06,0.25
AR,C,2,3,0.06,0.01,0.02,0.09
AR,C,3,1,0.37,0,0.16,0.53
AR,C,3,2,0.46,0,0.16,0.62
AR,C,3,3,0.27,0.04,0.09,0.4
AR,C,4,1,0.02,0.01,0,0.03
AR,C,4,2,0.07,0.01,0,0.08
AR,C,4,3,0.07,0.03,0.04,0.14
AR,E,1,1,0.11,0,0.06,0.17
AR,E,1,2,0.1,0,0.09,0.19
AR,E,1,3,0.1,0.03,0.08,0.21
AR,E,2,1,0.08,0,0.06,0.14
AR,E,2,2,0.08,0.04,0.06,0.18
AR,E,2,3,0.07,0.02,0.05,0.14
AR,E,3,1,0.06,0,0.04,0.1
AR,E,3,2,0.12,0.04,0.06,0.22
AR,E,3,3,0.12,0.02,0.05,0.19
AR,E,4,1,0.59,0,0.33,0.92
AR,E,4,2,0.54,0,0.25,0.79
AR,E,4,3,1.07,0,0.44,1.51
GC,C,1,1,0.01,0.01,0,0.02
GC,C,1,2,0.02,0.04,0.05,0.11
GC,C,1,3,0.02,0.06,0.03,0.11
GC,C,2,1,0.02,0.02,0.01,0.05
GC,C,2,2,0.01,0.04,0.01,0.06
GC,C,2,3,0.03,0.06,0.03,0.12
GC,C,3,1,0.03,0.04,0.06,0.13
GC,C,3,2,0.01,0.01,0.01,0.03
GC,C,3,3,0.04,0.05,0.06,0.15
GC,C,4,1,0.02,0.02,0.03,0.07
GC,C,4,2,0.05,0.05,0.06,0.16
GC,C,4,3,0.1,0.05,0.06,0.21
GC,E,1,1,0.01,0.01,0,0.02
GC,E,1,2,0.01,0,0,0.01
GC,E,1,3,0.01,0.01,0,0.02
GC,E,2,1,0.01,0.01,0.01,0.03
GC,E,2,2,0.01,0,0,0.01
GC,E,2,3,0.01,0,0,0.01
GC,E,3,1,0.01,0,0,0.01
GC,E,3,2,0.01,0.01,0.01,0.03
GC,E,3,3,0.01,0.01,0,0.02
GC,E,4,1,0.02,0.01,0.02,0.05
GC,E,4,2,0,0,0,0
GC,E,4,3,0.01,0.01,0.02,0.04
SFC,C,1,1,0.01,0,0.01,0.02
SFC,C,1,2,0.04,0.01,0.09,0.14
SFC,C,1,3,0.02,0.05,0.04,0.11
SFC,C,2,1,0.6,0.01,0.74,1.35
SFC,C,2,2,0.28,0.09,0.4,0.77
SFC,C,2,3,0.27,0.14,0.4,0.81
SFC,C,3,1,1.2,0,1.11,2.31
SFC,C,3,2,0.62,0,0.82,1.44
SFC,C,3,3,0.23,0,0.51,0.74
SFC,C,4,1,1.1,0,0.74,1.84
SFC,C,4,2,1.6,0,1.24,2.84
SFC,C,4,3,1.36,0,1.06,2.42
SFC,E,1,1,1.73,0,1.29,3.02
SFC,E,1,2,1.66,0,1.33,2.99
SFC,E,1,3,1.46,0,1.19,2.65
SFC,E,2,1,1.64,0,0.94,2.58
SFC,E,2,2,2.09,0,1.2,3.29
SFC,E,2,3,1.48,0,1.01,2.49
SFC,E,3,1,2.05,0,1.34,3.39
SFC,E,3,2,2.17,0,1.62,3.79
SFC,E,3,3,1.65,0,1.31,2.96
SFC,E,4,1,2.13,0,0.43,2.56
SFC,E,4,2,1.75,0,1.65,3.4
SFC,E,4,3,0.04,0.06,0.09,0.19
WMC,C,1,1,0.05,0,0.02,0.07
WMC,C,1,2,0.02,0,0.01,0.03
WMC,C,1,3,0.05,0,0.02,0.07
WMC,C,2,1,0.01,0,0,0.01
WMC,C,2,2,0.02,0,0,0.02
WMC,C,2,3,0.01,0,0,0.01
WMC,C,3,1,0.01,0.01,0,0.02
WMC,C,3,2,0.01,0,0,0.01
WMC,C,3,3,0.01,0,0,0.01
WMC,C,4,2,,,,0
WMC,C,4,3,,,,0
WMC,E,1,1,0,0,0,0
WMC,E,1,2,0,0,0,0
WMC,E,1,3,0.03,0,0.03,0.06
WMC,E,2,1,0.1,0,0.09,0.19
WMC,E,2,2,0.02,0,0.03,0.05
WMC,E,2,3,0.02,0,0.02,0.04
WMC,E,3,1,0,0,0,0
WMC,E,3,2,0.01,0,0,0.01
WMC,E,3,3,0,0,0,0
WMC,E,4,1,0,0,0.02,0.02
WMC,E,4,2,0.03,0,0.05,0.08
WMC,E,4,3,0.01,0,0.01,0.02
