C13,N15,category,trophic_category,site,species,trophic_level_fbase,size_max,replicate,UID,weight_(mg),N2_amp,%N,%C,CO2_amp,comment,C13_raw,N15_raw
-28.10757699,13.46592308,fish,fish_invertivore,AR,A.natalis,3.33,80,1,AR_A.natalis_80_1,0.936,3722,12.78024421,40.81248347,4603,,-27.17557699,21.38792308
-26.93996646,9.62447938,fish,fish_invertivore,AR,A.natalis,3.33,80,2,AR_A.natalis_80_2,1.0901,3371,9.919851337,32.34659405,4259,,-26.00796646,17.54647938
-27.31564151,12.16785003,fish,fish_invertivore,AR,A.natalis,3.33,80,3,AR_A.natalis_80_3,0.8116,3193,12.76343304,41.58829472,4065,,-26.38364151,20.08985003
-32.12331447,4.81035782,invertebrate,invertebrate_predator,AR,Aeshnidae,3,NA,1,AR_Aeshnidae_NA_1,1.126,2926,9.187764947,42.17663968,4785,,-31.32331447,11.61035782
-31.07385596,18.04175667,Aquatic primary producer,aquatic_primary_producer,AR,aquatic vegetation,1,NA,1,AR_aquatic vegetation_NA_1,3.697,4509,3.872604577,36.99331773,14284,,-31.07385596,18.04175667
-31.13213242,17.74438731,Aquatic primary producer,aquatic_primary_producer,AR,aquatic vegetation,1,NA,2,AR_aquatic vegetation_NA_2,3.2703,3875,3.796478679,36.33444655,12578,,-31.13213242,17.74438731
-31.09466898,17.98593648,Aquatic primary producer,aquatic_primary_producer,AR,aquatic vegetation,1,NA,3,AR_aquatic vegetation_NA_3,3.5979,4350,3.862349682,36.16766823,13656,,-31.09466898,17.98593648
-28.5301904,10.32105706,invertebrate,invertebrate_predator,SFC,Aeshnidae,3,NA,1,SFC_Aeshnidae_NA_1,1.2936,3839,10.20852635,41.63813237,5640,,-27.7301904,17.12105706
-25.77448331,9.93672203,invertebrate,invertebrate_grazer,SFC,Annelidae,2,NA,2,SFC_Annelidae_NA_2,1.1296,3340,10.20968411,45.24805337,5335,,-25.37448331,13.33672203
-22.94732558,2.290147448,invertebrate,invertebrate_predator,SFC,Belastomatidae,3,NA,1,SFC_Belastomatidae_NA_1,1.2904,3768,10.04847521,48.6807832,6436,,-22.14732558,9.090147448
