O18,H2,category,site,species,functional feeding group,size_max,replicate,UID,weight_(mg),H2_amp,%H,CO_amp,%O,comment
14.89338122,-162.6695308,fish,AR,C.lutrensis,invertivore_herbivore,40,8,AR_Cyprinidae_NA_8,0.3659,6917,6.218496639,4124,19.77892257,
13.66273945,-135.5657654,fish,SFC,P.latipinna,,40,1,SFC_P.latipinna_40_1,0.3753,5477,4.886839492,4827,24.2846872,
15.2956395,-134.0896362,fish,SFC,P.latipinna,,40,1,SFC_P.latipinna_40_1,0.3659,5904,5.272482,4026,22.58635458,
12.46320285,-132.0484437,fish,SFC,P.latipinna,,40,2,SFC_P.latipinna_40_2,0.3665,5707,4.897153289,4094,23.36664098,
14.5102167,-127.9622748,fish,SFC,P.latipinna,,80,2,SFC_P.latipinna_80_2,0.3686,5906,5.375732962,4213,21.46157141,
16.62440252,-123.7050371,fish,AR,C.lutrensis,invertivore_herbivore,40,9,AR_Cyprinidae_NA_9,0.3587,7069,6.383840008,3846,20.63767397,
13.32669705,-119.8438775,fish,SFC,P.latipinna,,80,1,SFC_P.latipinna_80_1,0.375,6087,5.28267956,4389,21.04252728,
12.05821117,-118.1091593,fish,AR,A.natalis,Piscivore_invertivore_herbivore,80,1,AR_A.natalis_80_1,0.3704,6724,5.74247819,4328,23.16098132,
12.77540586,-113.6978493,fish,AR,L.gulosus,,80,1,AR_L.gulosus_80_1,0.3784,6016,5.323015561,4760,22.43935179,
11.693674,-113.5774474,fish,SFC,P.latipinna,,80,3,SFC_P.latipinna_80_3,0.4065,6646,5.494420708,4855,22.40382184,
13.43750022,-113.2305284,fish,SFC,L.gulosus,,80,3,SFC_L.gulosus_80_3,0.3516,5570,5.92E+11,4168,21.3587506,
14.64271175,-113.0095211,fish,AR,L.macrochirus,,120,3,AR_L.macrochirus_120_3,0.3852,6951,5.930349744,5073,23.26281869,
15.20378572,-112.948126,fish,AR,I.punctatus,Piscivore_invertivore_herbivore_detritivore,80,2,AR_I.punctatus_80_2,0.3858,6537,5.512619845,4172,21.41717181,
16.40286746,-95.25449627,invertebrate,AR,Aeshnidae,,NA,1,AR_Aeshnidae_NA_1,0.3992,7256,6.003653286,5289,25.19536253,
18.2662174,-86.95286225,invertebrate,SFC,Aeshnidae,,NA,1,SFC_Aeshnidae_NA_1,0.3426,6009,5.845445581,4666,26.14058691,
14.13754671,-84.03039029,invertebrate,SFC,Annelidae,,NA,2,SFC_Annelidae_NA_2,0.3836,7294,6.382812872,5401,26.43820674,
