UID,Site,Year,Month,Day,Cycle,Q,Q.2w.med,Q.2w.mn,Q.2w.max,Q.2w.min,Q.h.d.mn,Q.h.d.med,Q.h.d.max,Q.h.d.min,Q.h.d.sd,Q.h.2w.med.mn,Q.h.2w.med.med,Q.h.2w.med.max,Q.h.2w.med.min,Q.h.2w.med.sd,Q.h.2w.mean.mn,Q.h.2w.mean.med,Q.h.2w.mean.max,Q.h.2w.mean.min,Q.h.2w.mean.sd,Q.h.2w.max.mn,Q.h.2w.max.med,Q.h.2w.max.max,Q.h.2w.max.min,Q.h.2w.max.sd,Q.h.2w.min.mn,Q.h.2w.min.med,Q.h.2w.min.max,Q.h.2w.min.min,Q.h.2w.min.sd
SFC3.6.2017,SFC,2017,3,6,0,0.18,0.21,0.190714286,0.28,0.04,2.425,1.445,9.99,0.18,2.769762483,2.545,1.4875,9.21,0.21,2.684217518,2.666571429,1.378214286,10.71142857,0.190714286,3.045549681,4.3015,1.68,30.9,0.28,7.021828578,1.696,0.83,5.92,0.04,1.918361143
PDC3.12.2017,PDC,2017,3,12,0,0.05,0.05,0.051428571,0.08,0.04,0.606666667,0.235,5.93,0,1.361880188,0.480833333,0.155,4.54,0,1.052565843,5.234087302,0.180714286,55.67,0,13.68001537,40.39944444,0.19,390,0,101.1547561,0.183333333,0.13,0.75,0,0.194331433
AR3.14.2017,AR,2017,3,14,0,3.63,3.4,4.703571429,15.6,2.71,90.46565217,6.3,1400,3.54,304.890318,9.321521739,5.265,93.05,3.1,18.35204605,31.30714286,6.292857143,529.8071429,3.028571429,108.9654424,163.7586957,7.8,3020,3.3,626.8975098,5.883478261,4.69,27.3,2.5,5.002665298
TRC3.22.2017,TRC,2017,3,22,0,0.1,0.72,4.574285714,31.8,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GC4.2.2017,GC,2017,4,2,0,2.48,4.13,4.620714286,10.3,2.44,53.37608696,2.48,770,0,163.1651558,9.415434783,2.57,70,0.01,16.56325423,46.60350932,4.650714286,508.2857143,0.025714286,120.4441545,257.8147826,12.6,2400,0.05,677.7206691,3.830869565,1.52,18,0,4.826355592
MR4.2.2017,MR,2017,4,2,0,5.11,6.71,7.512857143,12.7,5.16,179.6582609,17.6,3710,0.32,769.7292571,37.20478261,17.95,222.5,0.495,57.70578196,106.5688199,22.8,950.7142857,0.487857143,248.9774534,446.9643478,31.8,4820,0.59,1131.072,17.00608696,16,46.3,0.21,13.82499408
PLC4.2.2017,PLC,2017,4,2,0,3.12,2.45,3.227857143,8.59,1.96,81.32130435,1.71,1570,0,326.9617438,2.900217391,1.355,18.8,0.03,4.693493436,35.05773292,4.65,280.3742857,0.027142857,74.40098669,230.7147826,29.7,1740,0.05,473.8053985,1.258695652,1.2,3.44,0,0.967561623
AR7.27.2017,AR,2017,7,27,0.5,1.51,2.48,5.852142857,26.2,1.65,22.72434783,3.18,426,0.68,87.98742688,10.50869565,3.385,112.3,0.36,23.21370751,42.3176087,5.3,345.8521429,0.591428571,96.03465663,220.8504348,6.63,2300,0.88,549.0991548,4.813478261,2.98,33.3,0.23,6.759672268
GC8.18.2017,GC,2017,8,18,1,0,0,0.002857143,0.03,0,4.107826087,0.67,55.4,0,11.50756627,1.535,0.095,16.25,0,3.461091525,2.235403727,0.532857143,26.04357143,0,5.438388487,6.623478261,1.32,75.9,0,16.11980955,0.869565217,0.07,9.17,0,1.963002057
MR8.18.2017,MR,2017,8,18,1,0,0.015,0.027857143,0.11,0,26.59818182,7.5,368,0,77.59383478,11.06613636,5.785,78.6,0,17.84298935,12.91415584,7.171428571,99.95714286,0,21.93860428,25.40363636,10.3,202,0,46.65858789,8.938181818,4.595,58.4,0,13.87669977
PDC8.18.2017,PDC,2017,8,18,1,0,0,0,0,0,0.227777778,0,3,0,0.704945184,0.237777778,0,2.95,0,0.691877714,0.276825397,0,3.387857143,0,0.795472001,0.571111111,0,5.94,0,1.464597471,0.211666667,0,2.74,0,0.643686533
PLC8.18.2017,PLC,2017,8,18,1,1.62,4.64,13.45071429,65.8,1.65,17.60695652,0.42,238,0,57.94246837,1.215869565,0.595,10.89,0,2.354672652,5.085776398,0.747857143,83.64428571,0,17.35567514,22.75043478,1.17,363,0,75.94317472,0.640434783,0.43,5.29,0,1.099324083
AR8.20.2017,AR,2017,8,20,1,1.5,1.58,1.617142857,2.72,1.07,41.44304348,3.43,875,0.52,181.7271405,3.494565217,2.81,10.4,0.45,2.426875054,5.541677019,3.571428571,20.86714286,0.467142857,5.755764226,23.36304348,5.27,242,0.8,54.6120648,3.003478261,2.58,9.72,0.37,2.161366589
SFC8.20.2017,SFC,2017,8,20,1,0.24,0.29,0.277142857,0.4,0.14,1.415714286,1.07,6.87,0.18,1.403497672,1.963333333,1.065,13.4,0.225,2.974860641,1.897653061,1.039285714,10.235,0.277142857,2.397967806,3.893333333,1.54,17.7,0.4,5.018713315,0.533809524,0.39,2.44,0.09,0.519032525
TRC8.20.2017,TRC,2017,8,20,1,0.01,0.25,0.617142857,4.04,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMC8.23.2017,EMC,2017,8,23,1,0,1.195,3.986428571,13.9,0,45.61608696,0.37,828,0,172.7650523,3.143695652,0.43,41.83,0,8.792568429,12.86254658,1.728571429,90.16785714,0,26.72101692,95.88913043,6.5,1040,0,239.2831743,0.432173913,0,2.9,0,0.789090135
WMC8.23.2017,WMC,2017,8,23,1,2.62,13.55,31.44714286,112,3.92,114.0691304,10,1310,1.3,295.6880767,42.22565217,20.2,514,2.1,103.8691839,62.44586957,23.71428571,604.3807143,3.092142857,124.229907,232.0582609,44.5,1560,8.44,396.1066825,8.357826087,5.66,30,0.58,7.393865367
AR9.6.2017,AR,2017,9,6,2,4.24,5.15,15.80214,94.7,1.53,11.51043,4.24,76,0.61,19.73264,7.423913,3.905,63.5,0.705,13.00156,60.18863,5.947143,1041.608,0.6992857,215.5707,337.177,11,5500,0.87,1146.65,3.197391,2.8,9.93,0.53,2.221118
MR9.6.2017,MR,2017,9,6,2,130,323.5,1246.564286,4380,0,180.0831818,7.555,3270,0,696.0513429,53.76340909,7.5025,459.5,0,121.2058203,375.1408766,8.468928571,5664.214286,0.006428571,1220.489697,1948.703636,12.9,32100,0.03,6868.036446,7.915909091,5.795,51.5,0,11.97159681
SFC9.8.2017,SFC,2017,9,8,2,0.39,0.615,0.607857143,0.8,0.39,3.12047619,1.37,14.6,0.11,4.387376752,3.656904762,1.275,29.5,0.11,6.871426067,39.58238095,1.259285714,634.7764286,0.112142857,139.7848407,275.3590476,1.79,4290,0.18,959.665075,0.553333333,0.45,1.99,0.04,0.446019432
TRC9.8.2017,TRC,2017,9,8,2,0.12,0.055,1.112142857,8.23,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMC9.11.2017,EMC,2017,9,11,2,9.89,51.4,439.3142857,1740,10.6,167.8126087,3.4,3640,0,757.0523137,22.89347826,0.095,277,0,65.01819839,75.26375776,1.675,770.9357143,0,180.7625435,321.1221739,8.2,2720,0,671.7028791,2.237391304,0,22.3,0,5.372398497
GC9.11.2017,GC,2017,9,11,2,4.23,15,509.9964286,3860,4.66,133.033913,1.3,2820,0,586.3661858,16.915,0.525,224.5,0,50.70982857,89.15236025,0.887142857,964.9671429,0,230.2658351,557.206087,3.33,5960,0,1486.190339,1.11826087,0.23,9.47,0,2.211230945
PDC9.11.2017,PDC,2017,9,11,2,0.24,0.375,8.886428571,104,0.2,4.468888889,0.19,51.2,0,12.36745867,0.208611111,0,2.215,0,0.51798196,3.926746032,0.029642857,26.53142857,0,7.975231545,35.44777778,0.085,273,0,75.07566298,0.162222222,0,1.9,0,0.443999941
PLC9.11.2017,PLC,2017,9,11,2,3.55,8.035,351.7392857,2670,3.85,115.926087,2.02,2370,0,492.0946721,12.44543478,0.475,125.8,0,30.40559869,81.68832298,1.202857143,580.785,0,177.3268785,482.4726087,9,3680,0,1082.353088,0.822608696,0.34,7.53,0,1.670514938
WMC9.11.2017,WMC,2017,9,11,2,12.1,558.5,1823.714286,6800,14.8,293.8447826,25.9,4560,0.15,944.2316534,109.7680435,11.115,1279,1.265,289.4581407,280.7002174,25.34285714,2777.071429,1.254285714,668.0086411,1082.970435,90,10100,2.51,2443.45073,9.69173913,3.27,92.4,0.1,19.19869519
AR9.12.2017,AR,2017,9,12,3,3.47,4.21,5.620714286,16.9,3.32,61.81086957,7.06,458,0.61,135.4195722,9.13826087,4.025,88,0.61,18.0776848,60.19052795,5.311428571,1067.785714,0.666428571,221.2003323,302.7343478,12.1,5500,0.79,1138.963153,4.723043478,3.32,29,0.61,5.858807228
SFC9.19.2017,SFC,2017,9,19,3,1.12,0.72,0.682857143,1.01,0.35,204.1633333,1.43,2080,0.1,533.0612864,3.77952381,1.445,16.87,0.115,4.953482085,28.76489796,1.772142857,145.0521429,0.11,46.73708186,226.1338095,3.99,1190,0.17,376.5978494,1.671428571,0.64,11.7,0.04,3.213711695
TRC9.25.2017,TRC,2017,9,25,3,0,0.08,0.088571429,0.26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR9.26.2017,MR,2017,9,26,3,27.2,33.35,34.02142857,47.1,26.8,47.69727273,14.6,266,0,68.474472,84.16386364,9.9525,451,0,136.0711705,284.7856494,19.72857143,1355.485714,0,465.7798688,1193.854091,38.3,5840,0,1935.2136,24.01363636,8.035,119,0,35.21135025
EMC9.30.2017,EMC,2017,9,30,3,33.5,6.895,13.75071429,63.3,5.84,17.425,0.715,255,0,55.92428876,5.274318182,1.7475,25.6,0,7.541239682,47.40538961,15.4425,338.7064286,0,86.41908833,288.5813636,89.15,2010,0,517.9980069,0.860909091,0.21,5.84,0,1.359053975
WMC9.30.2017,WMC,2017,9,30,3,434,31.05,89.73214286,612,6.68,104.56,16.15,515,2.93,172.278224,42.86409091,30.325,155,3.59,39.81562381,155.139513,69.6225,928.7142857,7.021428571,222.2533844,794.7090909,299,4640,15.7,1168.514626,11.19454545,9.085,36,0.08,9.924193011
GC10.3.2017,GC,2017,10,3,3,4.73,7.31,20.01857143,104,2.98,2.876956522,1.23,18,0,3.906263542,4.45,1.645,27.8,0,6.736412756,13.34136646,1.966428571,94.68071429,0,26.45684659,80.78565217,7.64,867,0,193.2374295,1.498695652,0.58,7.21,0,2.069442842
PDC10.4.2017,PDC,2017,10,4,3,0.21,0.165,0.163571429,0.19,0.14,0.82,0.05,11.5,0,2.759445144,0.468888889,0.07,5.02,0,1.172657309,2.03724914,0.098928571,15.95071429,0,4.285954315,14.85944444,0.15,109,0,35.11668725,0.361666667,0.045,4.16,0,0.968292919
EMC10.10.2017,EMC,2017,10,10,3,2.93,7.12,10.77357143,33.5,3.25,119.0334783,1.28,1530,0,343.9248916,2.544565217,0.795,29.55,0,6.160578838,19.83819876,2.415714286,213.3307143,0,48.69862248,141.716087,16,1240,0,346.1115971,0.622173913,0.02,3.51,0,1.053530672
GC10.10.2017,GC,2017,10,10,3,2.12,5.61,17.92214286,104,2.28,103.7426087,2.12,1050,0,280.254562,2.824565217,1.7,10.65,0,3.205074426,12.18456522,2.100714286,84.25,0,23.35069295,87.14,6.76,733,0,197.9091536,1.334347826,0.75,6.04,0,1.72879839
PLC10.10.2017,PLC,2017,10,10,3,4.82,39.6,426.4064286,2120,5.35,43.20826087,2.1,719,0,152.820312,3.287608696,0.79,39.6,0,8.142415304,33.34996894,5.533571429,426.4064286,0.082142857,88.86811769,203.8278261,18.7,2120,0.4,462.0682683,0.931304348,0.51,5.35,0,1.342651056
