UID3,Site,Year,Month,Day,UID,Transect,Cycle,Canopy.Total,Depth.Right,Depth.Mn,Depth.Mx,Depth.Mid,Canopy.Density.Left,Canopy.Density.Right,Canopy.Density.Mid,Conductivity,Temperature,DO_.sat,DO_mg.L,salinity_psu,pH.field,Depth.Left,Width,Green.Algae,sand,Bluegreen.cyano,Diatoms,cobble,gravel,boulder,silt,bedrock,NO3N,NH4.N,Ortho.P
SFC3.3.2018.0,SFC,2018,3,3,SFC3.3.2018,0,8,0.918918919,0.1,0.186666667,0.39,0.39,0.864864865,0.945945946,0.945945946,1226,21.8,60,5.246488521,0.653751024,7.92,0.07,3.9,0,0.4,0.1,0.41,0,0.1,0,0.5,0,14.747,0.43,1.59
SFC4.7.2018.0,SFC,2018,4,7,SFC4.7.2018,0,9,0.981981982,0.04,0.075,0.12,0.12,1,1,0.945945946,1246,22.5,58.6,5.055704626,0.654623414,7.86,0.065,3.4,0.08,0.2,0.24,0.825,0,0.1,0,0.7,0,9.518,0.2,0.79
SFC5.12.2018.0,SFC,2018,5,12,SFC5.12.2018,0,10,0.891891892,0.02,0.103333333,0.19,0.19,1,0.837837838,0.837837838,1416,26.9,71.3,5.67001832,0.680923084,7.95,0.1,3.35,0,0,0.15,0.44,0,0.1,0,0.9,0,8.535,0.1,2.29
SFC6.1.2018.0,SFC,2018,6,1,SFC6.1.2018,0,11,1,0.1,0.216666667,0.35,0.35,1,1,1,1425,27.2,42,3.322096968,0.681209543,8.5,0.2,3.2,0.15,0.5,0.12,0.3,0,0.1,0,0.4,0,15.951,0,2.4
SFC7.1.2018.0,SFC,2018,7,1,SFC7.1.2018,0,12,0.954954955,0.04,0.156666667,0.23,0.2,1,0.864864865,1,980,28.2,57.6,4.481593368,0.452365772,7.73,0.23,3.1,0.01,0.25,0.18,0.92,0,0.75,0,0,0,12.66,0.22,2.34
SFC3.3.2018.25,SFC,2018,3,3,SFC3.3.2018,25,8,0.918918919,0.04,9.07,0.27,27,0.945945946,0.891891892,0.918918919,1268,21.4,60.1,5.295139146,0.683230476,7.75,0.17,2.91,0.01,0.5,0.08,0.2,0,0,0,0.5,0,16.58,0.27,3.4
SFC4.7.2018.25,SFC,2018,4,7,SFC4.7.2018,25,9,0.900900901,0.07,0.08,0.13,0.13,0.972972973,0.918918919,0.810810811,1184,22.4,57.6,4.97986671,0.622075076,7.83,0.04,2.6,0.05,0.1,0.09,0.26,0,0,0,0.9,0,9.961,0.27,1.08
SFC5.12.2018.25,SFC,2018,5,12,SFC5.12.2018,25,10,0.387387387,0.07,0.103333333,0.19,0.19,0.378378378,0.432432432,0.351351351,1423,26.8,67.8,5.401218233,0.685853906,8,0.05,2.5,0,0,0.08,0.31,0,0.1,0,0.9,0,8.989,0.11,2.4
SFC6.1.2018.25,SFC,2018,6,1,SFC6.1.2018,25,11,1,0.35,0.516666667,1.1,1.1,1,1,1,1426,27.3,58.4,4.611083768,0.680307321,8.45,0.1,4.3,0,0.158333334,0.12,0.3,0,0.175,0,0.5,0,15.866,0,1.7
SFC7.1.2018.25,SFC,2018,7,1,SFC7.1.2018,25,12,0.585585586,0.03,0.133333333,0.26,0.26,0.810810811,0.891891892,0.054054054,0,24.4,67.8,5.629504243,0.620024366,7.75,0.11,2.6,0,0.5,0.16,0.52,0,0,0,0.5,0,11.1,0.22,2.33
