site,date,stream_area,order,family,genus,species,abun,total_abun,guild,lowest_taxon,month
Transition,2018-05-12,270,Centrachiformes,Centrarchidae,Lepomis,cyanellus,5,287,fish,L.cyanellus,May
Transition,2018-05-12,270,Centrachiformes,Centrarchidae,Lepomis,macrochirus,50,287,fish,L.macrochirus,May
Transition,2018-05-12,270,Centrachiformes,Centrarchidae,Lepomis,megalotis,121,287,fish,L.megalotis,May
Transition,2018-05-12,270,Centrachiformes,Centrarchidae,Micropterus,salmoides,5,287,fish,M.salmoides,May
Transition,2018-05-12,270,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,7,287,fish,H.cyanoguttatum,May
Transition,2018-05-12,270,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,103,287,fish,C.lutrensis,May
Transition,2018-06-08,244.21875,Centrachiformes,Centrarchidae,Lepomis,gulosus,4,141,fish,L.gulosus,June
Transition,2018-06-08,244.21875,Centrachiformes,Centrarchidae,Lepomis,macrochirus,23,141,fish,L.macrochirus,June
Transition,2018-06-08,244.21875,Centrachiformes,Centrarchidae,Lepomis,megalotis,30,141,fish,L.megalotis,June
Transition,2018-06-08,244.21875,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,4,141,fish,H.cyanoguttatum,June
Transition,2018-06-08,244.21875,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,19,141,fish,G.affinis,June
Transition,2018-06-08,244.21875,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,52,141,fish,C.lutrensis,June
Transition,2018-06-08,244.21875,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,4,141,fish,L.oculatus,June
Transition,2018-06-08,244.21875,Siluriformes,Ictaluridae,Ameiurus,melas,4,141,fish,A.melas,June
Transition,2018-06-08,244.21875,Siluriformes,Ictaluridae,Ameiurus,natalis,4,141,fish,A.natalis,June
Transition,2018-07-01,245.625,Centrachiformes,Centrarchidae,Lepomis,megalotis,3,15,fish,L.megalotis,July
