site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom
Semi-Arid,I-Predator,Aeshnidae,3,NA,Invertebrate,-27.7301904,-90.14998583453557,17.12105706,7.36,0.173,0.122,0.4343917913771157,-86.95286225,Animal
Semi-Arid,I-Gatherer,Annelidae,2,NA,Invertebrate,-25.37448331,-86.3566824115666,13.33672203,7.36,0.173,0.122,0.31607229912589563,-84.03039029,Animal
Semi-Arid,I-Predator,Belostomatidae,3,NA,Invertebrate,-22.14732558,-132.46586718453557,9.090147448,7.36,0.173,0.122,0.4343917913771157,-129.2687436,Animal
Semi-Arid,I-Predator,Belostomatidae,3,NA,Invertebrate,-22.57875804,-104.82308008453558,7.96469465,7.36,0.173,0.122,0.4343917913771157,-101.6259565,Animal
Semi-Arid,F-Invertivore,C.lutrensis,2.82,80,Fish,-25.38521547,-96.37616057155368,14.00294989,7.36,0.173,0.122,0.4147186143415337,-93.32383157,Animal
Semi-Arid,I-Gatherer,Chironomidae,2,NA,Invertebrate,-25.89821227,-92.4472953315666,14.02304726,7.36,0.173,0.122,0.31607229912589563,-90.12100321,Animal
Semi-Arid,I-Predator,Coenagrionidae,3,NA,Invertebrate,-25.75010859,-100.25694889453557,13.31361005,7.36,0.173,0.122,0.4343917913771157,-97.05982531,Animal
Semi-Arid,I-Predator,Coenagrionidae,3,NA,Invertebrate,-26.71385573,-78.32984397453558,14.04213976,7.36,0.173,0.122,0.4343917913771157,-75.13272039,Animal
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.14290531,-95.6153618215666,11.0546655,7.36,0.173,0.122,0.31607229912589563,-93.2890697,Animal
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.39940371,-97.9124799515666,10.22263433,7.36,0.173,0.122,0.31607229912589563,-95.58618783,Animal
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.16544282,-92.2505690815666,11.06370932,7.36,0.173,0.122,0.31607229912589563,-89.92427696,Animal
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.63229138,-98.1651144715666,10.89087193,7.36,0.173,0.122,0.31607229912589563,-95.83882235,Animal
Semi-Arid,I-Predator,Corduliidae,2,NA,Invertebrate,-27.54774384,-94.5555822015666,13.24025464,7.36,0.173,0.122,0.31607229912589563,-92.22929008,Animal
Semi-Arid,I-NA,Filamentous Algae,1,NA,Aquatic,-32.86552454,-138.5450093617492,7.135678079,7.36,0.173,0.122,0.17300157088983747,-137.2717178,Plant
Semi-Arid,I-NA,Filamentous Algae,1,NA,Aquatic,-21.78350567,-131.0589617617492,11.7741514,7.36,0.173,0.122,0.17300157088983747,-129.7856702,Plant
Semi-Arid,I-NA,Filamentous Algae,1,NA,Aquatic,-19.36769854,-122.8765375617492,15.02088175,7.36,0.173,0.122,0.17300157088983747,-121.603246,Plant
Semi-Arid,I-NA,C3 grass,1,NA,Terrestrial,-28.21313719,-76.3271566117492,15.54240854,7.36,0.173,0.122,0.17300157088983747,-75.05386505,Plant
Semi-Arid,F-Invertivore,H.cyanoguttatus,2.9,180,Fish,-22.79984035,-96.58595852438991,16.12724205,7.36,0.173,0.122,0.42354534208196126,-93.46866480666668,Animal
Semi-Arid,F-Invertivore,H.cyanoguttatus,2.9,200,Fish,-24.53451365,-86.06026540772322,15.46570357,7.36,0.173,0.122,0.42354534208196126,-82.94297169,Animal
Semi-Arid,F-Invertivore,H.cyanoguttatus,2.9,80,Fish,-24.68869888,-98.71226414772323,15.44091681,7.36,0.173,0.122,0.42354534208196126,-95.59497043,Animal
Semi-Arid,F-Invertivore,H.cyanoguttatus,2.9,80,Fish,-26.11500172,-104.98534601772323,14.82895185,7.36,0.173,0.122,0.42354534208196126,-101.8680523,Animal
Semi-Arid,F-Piscivore,L.cyanellus,3.5,120,Fish,-25.46248695,-102.81810049222507,16.88591782,7.36,0.173,0.122,0.4856384948675363,-99.24380117,Animal
Semi-Arid,F-Piscivore,L.cyanellus,3.5,80,Fish,-26.49062699,-113.69383642222508,15.821762,7.36,0.173,0.122,0.4856384948675363,-110.1195371,Animal
Semi-Arid,F-Piscivore,L.cyanellus,3.5,80,Fish,-23.06814412,-79.41207745222508,13.6572751,7.36,0.173,0.122,0.4856384948675363,-75.83777813,Animal
Semi-Arid,F-Piscivore,L.cyanellus,3.5,80,Fish,-25.11905813,-108.23256232222508,11.78319522,7.36,0.173,0.122,0.4856384948675363,-104.658263,Animal
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.28755289,-102.70080624827983,15.78257213,7.36,0.173,0.122,0.475774783733672,-99.19910384,Animal
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.65995852,-103.25490937827982,16.57742317,7.36,0.173,0.122,0.475774783733672,-99.75320697,Animal
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.93040872,-116.73223080827982,11.95201314,7.36,0.173,0.122,0.475774783733672,-113.2305284,Animal
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-23.85910363,-107.19697309481673,15.75946015,7.36,0.173,0.122,0.45547627646966393,-103.8446677,Animal
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-26.87269156,-111.89633199481672,15.31932772,7.36,0.173,0.122,0.45547627646966393,-108.5440266,Animal
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-25.88211404,-100.46363888481673,12.97999368,7.36,0.173,0.122,0.45547627646966393,-97.11133349,Animal
Semi-Arid,F-Piscivore,L.oculatus,4,120,Fish,-23.04346017,-110.32088370441092,18.69769585,7.36,0.173,0.122,0.5322420114688746,-106.4035825,Animal
Semi-Arid,F-Piscivore,L.oculatus,4,400,Fish,-23.28600678,-107.40780190441092,17.67373478,7.36,0.173,0.122,0.5322420114688746,-103.4905007,Animal
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-32.82259593,-96.51360211174921,13.20508424,7.36,0.173,0.122,0.17300157088983747,-95.24031055,Plant
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-29.26596118,-99.4023321517492,11.21343474,7.36,0.173,0.122,0.17300157088983747,-98.12904059,Plant
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-30.71372831,-90.79622762174921,15.8730103,7.36,0.173,0.122,0.17300157088983747,-89.52293606,Plant
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-23.40406044,-82.56713647453557,14.63802683,7.36,0.173,0.122,0.4343917913771157,-79.37001289,Animal
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-26.5410681,-82.39230488453558,8.142556386,7.36,0.173,0.122,0.4343917913771157,-79.1951813,Animal
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-27.84609763,-110.25554048453557,5.512815338,7.36,0.173,0.122,0.4343917913771157,-107.0584169,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.65888531,-136.41592832156658,12.72576194,7.36,0.173,0.122,0.31607229912589563,-134.0896362,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.65888531,-137.89205752156658,12.72576194,7.36,0.173,0.122,0.31607229912589563,-135.5657654,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-24.32595219,-136.41592832156658,13.4653452,7.36,0.173,0.122,0.31607229912589563,-134.0896362,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-24.32595219,-137.89205752156658,13.4653452,7.36,0.173,0.122,0.31607229912589563,-135.5657654,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.36804402,-134.3747358215666,14.24210861,7.36,0.173,0.122,0.31607229912589563,-132.0484437,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.36804402,-97.3179171415666,14.24210861,7.36,0.173,0.122,0.31607229912589563,-94.99162502,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.00959019,-134.3747358215666,12.02436367,7.36,0.173,0.122,0.31607229912589563,-132.0484437,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,40,Fish,-25.00959019,-97.3179171415666,12.02436367,7.36,0.173,0.122,0.31607229912589563,-94.99162502,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-25.42385121,-122.1701696215666,13.71053313,7.36,0.173,0.122,0.31607229912589563,-119.8438775,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-24.3839058,-130.2885669215666,16.16743679,7.36,0.173,0.122,0.31607229912589563,-127.9622748,Animal
Semi-Arid,F-Herbivore,P.latipinna,2,80,Fish,-27.12811675,-115.90373952156659,12.87649222,7.36,0.173,0.122,0.31607229912589563,-113.5774474,Animal
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.42468797,-98.4956215617492,11.6495477,7.36,0.173,0.122,0.17300157088983747,-97.22233,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-23.77002678,-120.5030467617492,12.26854674,7.36,0.173,0.122,0.17300157088983747,-119.2297552,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-25.51507449,-114.4796768617492,12.21126923,7.36,0.173,0.122,0.17300157088983747,-113.2063853,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.6897721,-100.43467777174921,9.708141619,7.36,0.173,0.122,0.17300157088983747,-99.16138621,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-22.00244155,-111.64932104889206,12.24945423,7.36,0.173,0.122,0.17300157088983747,-110.37602948714286,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-24.60820775,-115.0491304617492,11.63849414,7.36,0.173,0.122,0.17300157088983747,-113.7758389,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-23.25381033,-113.6066343617492,10.40351067,7.36,0.173,0.122,0.17300157088983747,-112.3333428,Plant
Semi-Arid,I-NA,periphyton,1,NA,Aquatic,-25.68464247,-118.97645956174921,11.99421762,7.36,0.173,0.122,0.17300157088983747,-117.703168,Plant
Semi-Arid,I-Herbivore,Thiaridae,2,NA,Invertebrate,-25.18345103,-97.2238067115666,12.91166262,7.36,0.173,0.122,0.31607229912589563,-94.89751459,Animal
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-27.17557699,-110.06058693555805,21.38792308,-17.17,0.173,0.122,0.46875785465590836,-118.1091593,Animal
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-26.00796646,-79.29962967555805,17.54647938,-17.17,0.173,0.122,0.46875785465590836,-87.34820204,Animal
Transition,F-Invertivore,A.natalis,3.33,80,Fish,-26.38364151,-92.42318613555805,20.08985003,-17.17,0.173,0.122,0.46875785465590836,-100.47175850000001,Animal
Transition,I-Predator,Aeshnidae,3,NA,Invertebrate,-31.32331447,-87.79598921205493,11.61035782,-17.17,0.173,0.122,0.4343917913771157,-95.25449627,Animal
Transition,F-Invertivore,C.lutrensis,2.82,40,Fish,-26.06416162,-105.45362569175587,18.9155963,-17.17,0.173,0.122,0.4147186143415337,-112.5743443,Animal
Transition,F-Invertivore,C.lutrensis,2.82,40,Fish,-26.16094217,-116.58431849175587,16.79442924,-17.17,0.173,0.122,0.4147186143415337,-123.7050371,Animal
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-27.74481313,-87.90914680205492,17.69161186,-17.17,0.173,0.122,0.4343917913771157,-95.36765386,Animal
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-27.41700804,-89.50914204705492,19.835107,-17.17,0.173,0.122,0.4343917913771157,-96.967649105,Animal
Transition,I-Predator,Coenagrionidae,3,NA,Invertebrate,-28.4774315,-91.10913729205492,17.48456972,-17.17,0.173,0.122,0.4343917913771157,-98.56764435,Animal
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-27.62097565,-86.65542655400837,14.55350251,-17.17,0.173,0.122,0.31607229912589563,-92.08238793,Animal
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-25.85707206,-79.61357419400838,11.31999137,-17.17,0.173,0.122,0.31607229912589563,-85.04053557,Animal
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-25.3165297,-83.44303776400838,11.61638703,-17.17,0.173,0.122,0.31607229912589563,-88.86999914,Animal
Transition,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.10319635,-90.72779840400838,10.83861876,-17.17,0.173,0.122,0.31607229912589563,-96.15475978,Animal
Transition,I-Predator,Corduliidae,2,NA,Invertebrate,-27.91756121,-74.93468201400837,16.67060992,-17.17,0.173,0.122,0.31607229912589563,-80.36164339,Animal
Transition,I-Predator,Corydalidae,3,NA,Invertebrate,-27.63467426,-67.06932756205492,14.01701805,-17.17,0.173,0.122,0.4343917913771157,-74.52783462,Animal
Transition,I-Gatherer,Dogielinotidae,2,NA,Invertebrate,-25.98084983,-94.54183329400837,15.39569773,-17.17,0.173,0.122,0.31607229912589563,-99.96879467,Animal
Transition,I-Gatherer,Elmidae,2,NA,Invertebrate,-28.2066979,-75.31905803400838,13.03425659,-17.17,0.173,0.122,0.31607229912589563,-80.74601941,Animal
Transition,I-Gatherer,Elmidae,2,NA,Invertebrate,-28.55131772,-93.04078351400838,15.13200261,-17.17,0.173,0.122,0.31607229912589563,-98.46774489,Animal
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-29.54722081,-137.6600037278215,15.76429308,-17.17,0.173,0.122,0.17300157088983747,-140.6304407,Plant
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-20.87235335,-198.1916590278215,19.18556302,-17.17,0.173,0.122,0.17300157088983747,-201.162096,Plant
Transition,I-NA,Filamentous Algae,1,NA,Aquatic,-25.20978708,-184.8345005278215,17.47492805,-17.17,0.173,0.122,0.17300157088983747,-187.8049375,Plant
Transition,I-Predator,Gomphidae,3,NA,Invertebrate,-27.60784389,-85.26557787205493,16.21466561,-17.17,0.173,0.122,0.4343917913771157,-92.72408493,Animal
Transition,I-NA,C3 grass,1,NA,Terrestrial,-31.8304093,-93.0579191378215,12.88194167,-17.17,0.173,0.122,0.17300157088983747,-96.02835611,Plant
