site,genus,species,forklength,lowest_taxon,collection
AR,Cyprinella,lutrensis,34,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,41,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,47,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,38,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,47,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,33,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,42,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,40,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,39,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,37,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,57,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,34,C.lutrensis,2017-09-12
AR,Cyprinella,lutrensis,34,C.lutrensis,2017-09-12
AR,Gambusia,affinis,28,G.affinis,2017-09-12
AR,Gambusia,affinis,27,G.affinis,2017-09-12
AR,Herichthys,cyanoguttatus,37,H.cyanoguttatus,2017-09-12
AR,Herichthys,cyanoguttatus,54,H.cyanoguttatus,2017-09-12
AR,Herichthys,cyanoguttatus,51,H.cyanoguttatus,2017-09-12
AR,Herichthys,cyanoguttatus,53,H.cyanoguttatus,2017-09-12
AR,Herichthys,cyanoguttatus,35,H.cyanoguttatus,2017-09-12
AR,Herichthys,cyanoguttatus,32,H.cyanoguttatus,2017-09-12
AR,Ictalurus,punctatus,66,I.punctatus,2017-09-12
AR,Lepomis,auritius,112,L.auritius,2017-09-12
AR,Lepomis,auritius,86,L.auritius,2017-09-12
AR,Lepomis,cyanellus,118,L.cyanellus,2017-09-12
AR,Lepomis,macrochirus,40,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,28,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,44,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,67,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,66,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,97,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,33,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,42,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,46,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,42,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,48,L.macrochirus,2017-09-12
AR,Lepomis,macrochirus,32,L.macrochirus,2017-09-12
SJI,Lagodon,rhomboides,80,L.rhomboides,2017-09-16
SJI,Sciaenops,ocellatus,250,S.ocellatus,2017-09-16
SFC,Astyanax,mexicanus,65,A.mexicanus,2017-09-19
SFC,Gambusia,affinis,23,G.affinis,2017-09-19
SFC,Gambusia,affinis,15,G.affinis,2017-09-19
SFC,Gambusia,affinis,31,G.affinis,2017-09-19
SFC,Gambusia,affinis,21,G.affinis,2017-09-19
SFC,Herichthys,cyanoguttatus,58,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,71,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,35,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,41,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,31,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,50,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,35,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,95,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,26,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,39,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,30,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,35,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,32,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,85,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,105,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,20,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,31,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,38,H.cyanoguttatus,2017-09-19
SFC,Herichthys,cyanoguttatus,38,H.cyanoguttatus,2017-09-19
SFC,Lepisosteus,oculatus,572,L.oculatus,2017-09-19
SFC,Lepomis,macrochirus,75,L.macrochirus,2017-09-19
SFC,Lepomis,macrochirus,92,L.macrochirus,2017-09-19
SFC,Lepomis,megalotis,83,L.megalotis,2017-09-19
SFC,Poecilia,formosa,30,P.formosa,2017-09-19
SFC,Poecilia,formosa,31,P.formosa,2017-09-19
SFC,Poecilia,formosa,33,P.formosa,2017-09-19
SFC,Poecilia,formosa,33,P.formosa,2017-09-19
SFC,Poecilia,formosa,35,P.formosa,2017-09-19
SFC,Poecilia,formosa,26,P.formosa,2017-09-19
SFC,Poecilia,formosa,31,P.formosa,2017-09-19
SFC,Poecilia,formosa,33,P.formosa,2017-09-19
SFC,Poecilia,formosa,34,P.formosa,2017-09-19
SFC,Poecilia,formosa,40,P.formosa,2017-09-19
SFC,Poecilia,formosa,30,P.formosa,2017-09-19
SFC,Poecilia,formosa,29,P.formosa,2017-09-19
SFC,Poecilia,formosa,35,P.formosa,2017-09-19
SFC,Poecilia,formosa,42,P.formosa,2017-09-19
SFC,Poecilia,formosa,36,P.formosa,2017-09-19
SFC,Poecilia,formosa,29,P.formosa,2017-09-19
SFC,Poecilia,formosa,29,P.formosa,2017-09-19
SFC,Poecilia,formosa,28,P.formosa,2017-09-19
SFC,Poecilia,formosa,30,P.formosa,2017-09-19
SFC,Poecilia,formosa,35,P.formosa,2017-09-19
SFC,Poecilia,latipinna,33,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,31,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,30,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,23,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,45,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,60,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,35,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,47,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,30,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,32,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,34,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,34,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,35,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,20,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,40,P.latipinna,2017-09-19
SFC,Poecilia,latipinna,31,P.latipinna,2017-09-19
TRC,Astyanax,mexicanus,55,A.mexicanus,2017-09-25
TRC,Astyanax,mexicanus,58,A.mexicanus,2017-09-25
TRC,Astyanax,mexicanus,64,A.mexicanus,2017-09-25
TRC,Cyprinodon,variegatus,38,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,45,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,27,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,24,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,19,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,26,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,46,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,42,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,42,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,38,C.variegatus,2017-09-25
TRC,Cyprinodon,variegatus,58,C.variegatus,2017-09-25
TRC,Fundulus,grandis,33,F.grandis,2017-09-25
TRC,Fundulus,grandis,32,F.grandis,2017-09-25
TRC,Fundulus,grandis,34,F.grandis,2017-09-25
TRC,Fundulus,grandis,32,F.grandis,2017-09-25
TRC,Fundulus,grandis,30,F.grandis,2017-09-25
TRC,Fundulus,grandis,59,F.grandis,2017-09-25
TRC,Poecilia,latipinna,62,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,64,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,56,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,56,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,55,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,57,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,48,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,62,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,73,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,58,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,57,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,57,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,63,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,64,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,57,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,57,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,52,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,45,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,50,P.latipinna,2017-09-25
TRC,Poecilia,latipinna,45,P.latipinna,2017-09-25
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,45,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,35,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,30,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,35,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,28,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,45,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,39,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,43,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,35,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,41,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,30,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,45,A.mitchilli,2017-09-26
MR,Anchoa,mitchilli,40,A.mitchilli,2017-09-26
MR,Gambusia,affinis,35,G.affinis,2017-09-26
MR,Gambusia,affinis,31,G.affinis,2017-09-26
MR,Gambusia,affinis,34,G.affinis,2017-09-26
MR,Gambusia,affinis,33,G.affinis,2017-09-26
MR,Gambusia,affinis,30,G.affinis,2017-09-26
MR,Gambusia,affinis,30,G.affinis,2017-09-26
GC,Gambusia,affinis,28,G.affinis,2017-10-03
GC,Gambusia,affinis,33,G.affinis,2017-10-03
GC,Gambusia,affinis,38,G.affinis,2017-10-03
GC,Gambusia,affinis,24,G.affinis,2017-10-03
GC,Lepomis,auritius,88,L.auritius,2017-10-03
GC,Lepomis,auritius,55,L.auritius,2017-10-03
GC,Lepomis,auritius,49,L.auritius,2017-10-03
GC,Lepomis,auritius,50,L.auritius,2017-10-03
GC,Lepomis,auritius,49,L.auritius,2017-10-03
GC,Lepomis,auritius,44,L.auritius,2017-10-03
GC,Lepomis,cyanellus,75,L.cyanellus,2017-10-03
GC,Lepomis,cyanellus,78,L.cyanellus,2017-10-03
GC,Lepomis,cyanellus,72,L.cyanellus,2017-10-03
GC,Lepomis,cyanellus,54,L.cyanellus,2017-10-03
GC,Lepomis,macrochirus,53,L.macrochirus,2017-10-03
GC,Notropis,texanus,50,N.texanus,2017-10-03
GC,Notropis,texanus,47,N.texanus,2017-10-03
GC,Notropis,texanus,52,N.texanus,2017-10-03
GC,Notropis,texanus,47,N.texanus,2017-10-03
GC,Notropis,texanus,48,N.texanus,2017-10-03
GC,Notropis,texanus,47,N.texanus,2017-10-03
GC,Notropis,texanus,48,N.texanus,2017-10-03
GC,Notropis,texanus,58,N.texanus,2017-10-03
GC,Notropis,texanus,49,N.texanus,2017-10-03
GC,Notropis,texanus,47,N.texanus,2017-10-03
GC,Notropis,texanus,49,N.texanus,2017-10-03
GC,Notropis,texanus,46,N.texanus,2017-10-03
GC,Notropis,texanus,49,N.texanus,2017-10-03
GC,Notropis,texanus,43,N.texanus,2017-10-03
GC,Notropis,texanus,50,N.texanus,2017-10-03
GC,Notropis,texanus,50,N.texanus,2017-10-03
PDC,Ameiurus,melas,108,A.melas,2017-10-04
PDC,Ameiurus,melas,114,A.melas,2017-10-04
PDC,Ameiurus,melas,117,A.melas,2017-10-04
PDC,Fundulus,notatus,42,F.notatus,2017-10-04
PDC,Herichthys,cyanoguttatus,81,H.cyanoguttatus,2017-10-04
PDC,Lepomis,auritius,60,L.auritius,2017-10-04
PDC,Lepomis,auritius,96,L.auritius,2017-10-04
PDC,Lepomis,auritius,85,L.auritius,2017-10-04
PDC,Lepomis,auritius,65,L.auritius,2017-10-04
PDC,Lepomis,auritius,68,L.auritius,2017-10-04
PDC,Lepomis,auritius,69,L.auritius,2017-10-04
PDC,Lepomis,auritius,94,L.auritius,2017-10-04
PDC,Lepomis,auritius,60,L.auritius,2017-10-04
PDC,Lepomis,auritius,99,L.auritius,2017-10-04
PDC,Lepomis,auritius,91,L.auritius,2017-10-04
PDC,Lepomis,auritius,101,L.auritius,2017-10-04
PDC,Lepomis,auritius,74,L.auritius,2017-10-04
PDC,Lepomis,auritius,111,L.auritius,2017-10-04
PDC,Lepomis,cyanellus,80,L.cyanellus,2017-10-04
PDC,Lepomis,cyanellus,78,L.cyanellus,2017-10-04
PDC,Lepomis,cyanellus,80,L.cyanellus,2017-10-04
PDC,Lepomis,cyanellus,80,L.cyanellus,2017-10-04
PDC,Lepomis,cyanellus,80,L.cyanellus,2017-10-04
PDC,Lepomis,cyanellus,65,L.cyanellus,2017-10-04
PDC,Lepomis,macrochirus,95,L.macrochirus,2017-10-04
PDC,Lepomis,macrochirus,97,L.macrochirus,2017-10-04
PDC,Lepomis,macrochirus,37,L.macrochirus,2017-10-04
PDC,Lepomis,macrochirus,49,L.macrochirus,2017-10-04
PDC,Lepomis,macrochirus,95,L.macrochirus,2017-10-04
PDC,Lepomis,megalotis,71,L.megalotis,2017-10-04
PDC,Lepomis,megalotis,83,L.megalotis,2017-10-04
PDC,Micropterus,salmoides,145,M.salmoides,2017-10-04
PDC,Micropterus,salmoides,175,M.salmoides,2017-10-04
PDC,Micropterus,salmoides,32,M.salmoides,2017-10-04
PDC,Poecilia,formosa,32,P.formosa,2017-10-04
PDC,Poecilia,formosa,42,P.formosa,2017-10-04
EMC,Cyprinella,lutrensis,44,C.lutrensis,2017-10-10
EMC,Dorosoma,cepedianum,162,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,149,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,124,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,127,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,235,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,130,D.cepedianum,2017-10-10
EMC,Dorosoma,cepedianum,133,D.cepedianum,2017-10-10
EMC,Etheostoma,gracile,39,E.gracile,2017-10-10
EMC,Etheostoma,gracile,37,E.gracile,2017-10-10
EMC,Gambusia,affinis,31,G.affinis,2017-10-10
EMC,Gambusia,affinis,16,G.affinis,2017-10-10
EMC,Gambusia,affinis,18,G.affinis,2017-10-10
EMC,Gambusia,affinis,27,G.affinis,2017-10-10
EMC,Gambusia,affinis,32,G.affinis,2017-10-10
EMC,Gambusia,affinis,22,G.affinis,2017-10-10
EMC,Gambusia,affinis,32,G.affinis,2017-10-10
EMC,Gambusia,affinis,27,G.affinis,2017-10-10
EMC,Gambusia,affinis,26,G.affinis,2017-10-10
EMC,Gambusia,affinis,28,G.affinis,2017-10-10
EMC,Gambusia,affinis,70,G.affinis,2017-10-10
EMC,Gambusia,affinis,16,G.affinis,2017-10-10
EMC,Gambusia,affinis,22,G.affinis,2017-10-10
EMC,Gambusia,affinis,27,G.affinis,2017-10-10
EMC,Gambusia,affinis,27,G.affinis,2017-10-10
EMC,Gambusia,affinis,19,G.affinis,2017-10-10
EMC,Gambusia,affinis,22,G.affinis,2017-10-10
EMC,Gambusia,affinis,22,G.affinis,2017-10-10
EMC,Gambusia,affinis,30,G.affinis,2017-10-10
EMC,Gambusia,affinis,21,G.affinis,2017-10-10
EMC,Ictiobus,bubalus,430,I.bubalus,2017-10-10
EMC,Lepomis,cyanellus,65,L.cyanellus,2017-10-10
EMC,Lepomis,cyanellus,32,L.cyanellus,2017-10-10
EMC,Lepomis,cyanellus,47,L.cyanellus,2017-10-10
EMC,Lepomis,cyanellus,34,L.cyanellus,2017-10-10
EMC,Lepomis,gulosus,66,L.gulosus,2017-10-10
EMC,Lepomis,gulosus,75,L.gulosus,2017-10-10
EMC,Lepomis,gulosus,54,L.gulosus,2017-10-10
EMC,Lepomis,gulosus,49,L.gulosus,2017-10-10
EMC,Lepomis,macrochirus,40,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,83,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,44,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,43,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,82,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,79,L.macrochirus,2017-10-10
EMC,Lepomis,macrochirus,43,L.macrochirus,2017-10-10
EMC,Lepomis,megalotis,38,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,72,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,89,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,47,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,72,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,46,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,38,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,31,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,39,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,40,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,37,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,37,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,37,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,30,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,27,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,28,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,30,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,60,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,41,L.megalotis,2017-10-10
EMC,Lepomis,megalotis,78,L.megalotis,2017-10-10
EMC,Notropis,texanus,37,N.texanus,2017-10-10
EMC,Notropis,texanus,39,N.texanus,2017-10-10
EMC,Pimephales,vigilax,32,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,39,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,39,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,38,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,34,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,42,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,49,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,38,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,28,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,33,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,24,P.vigilax,2017-10-10
EMC,Pimephales,vigilax,35,P.vigilax,2017-10-10
