site,date,order,family,genus,lowest_taxon,abun,total_abun
AR,2017-11-01,Odonata,Coenagrionidae,Argia,Argia,104.83870967741935,929.0322580645161
AR,2017-11-01,Ephemeroptera,Caenidae,Caenis,Caenis,5.376344086021505,929.0322580645161
AR,2017-11-01,Diptera,Chironomidae,NA,Chironomidae,5.376344086021505,929.0322580645161
AR,2017-11-01,Diptera,Chironomidae,NA,Chironomidae,142.4731182795699,929.0322580645161
AR,2017-11-01,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,12.365591397849462,929.0322580645161
AR,2017-11-01,Coleoptera,Elmidae,NA,Elmidae,5.913978494623656,929.0322580645161
AR,2017-11-01,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus,29.032258064516128,929.0322580645161
AR,2017-11-01,Ephemeroptera,Baetidae,Fallceon,Fallceon,66.66666666666666,929.0322580645161
AR,2017-11-01,Amphipoda,Hyalellidae,Hyalella,Hyalella,17.741935483870968,929.0322580645161
AR,2017-11-01,Gastropoda,Thiaridae,Melanoides,Melanoides,57.526881720430104,929.0322580645161
AR,2017-11-01,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,74.19354838709677,929.0322580645161
AR,2017-11-01,Decapoda,Palaemonidae,Palaemon,Palaemon,5.376344086021505,929.0322580645161
AR,2017-11-01,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,46.236559139784944,929.0322580645161
AR,2017-11-01,Decapoda,Cambaridae,Procambarus,Procambarus,5.376344086021505,929.0322580645161
AR,2017-11-01,Diptera,Simuliidae,Simulium,Simulium,106.98924731182795,929.0322580645161
AR,2017-11-01,Trichoptera,Hydropsychidae,Smicridea,Smicridea,80.64516129032258,929.0322580645161
AR,2017-11-01,Ephemeroptera,Heptageniidae,Stenacron,Stenacron,5.913978494623656,929.0322580645161
AR,2017-11-01,Coleoptera,Elmidae,Stenelmis,Stenelmis,97.84946236559139,929.0322580645161
AR,2017-11-01,Diptera,Chironomidae,NA,Chironomidae,17.741935483870968,929.0322580645161
AR,2017-11-01,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,41.39784946236559,929.0322580645161
AR,2017-12-07,Trichoptera,Hydroptilidae,Agraylea,Agraylea,6.451612903225806,1117.2043010752689
AR,2017-12-07,Odonata,Coenagrionidae,Argia,Argia,120.96774193548386,1117.2043010752689
AR,2017-12-07,Diptera,Ceratopogonidae,Atrichopogon,Atrichopogon,5.913978494623656,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Caenidae,Caenis,Caenis,57.526881720430104,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius,5.913978494623656,1117.2043010752689
AR,2017-12-07,Trichoptera,Philopotamidae,Chimarra,Chimarra,28.494623655913976,1117.2043010752689
AR,2017-12-07,Diptera,Chironomidae,NA,Chironomidae,97.84946236559139,1117.2043010752689
AR,2017-12-07,Diptera,Dolichopodidae,NA,Dolichopodidae,6.451612903225806,1117.2043010752689
AR,2017-12-07,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,10.75268817204301,1117.2043010752689
AR,2017-12-07,Odonata,Coenagrionidae,Enallagma,Enallagma,5.376344086021505,1117.2043010752689
AR,2017-12-07,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus,10.75268817204301,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Baetidae,Fallceon,Fallceon,160.752688172043,1117.2043010752689
AR,2017-12-07,Odonata,Calopterygidae,Hetaerina,Hetaerina,11.29032258064516,1117.2043010752689
AR,2017-12-07,Coleoptera,Elmidae,Heterelmis,Heterelmis,6.451612903225806,1117.2043010752689
AR,2017-12-07,Amphipoda,Hyalellidae,Hyalella,Hyalella,29.032258064516128,1117.2043010752689
AR,2017-12-07,Coleoptera,Hydrochidae,Hydrochus,Hydrochus,5.376344086021505,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Isonychiidae,Isonychia,Isonychia,11.827956989247312,1117.2043010752689
AR,2017-12-07,Odonata,Corduliidae,Macromia,Macromia,5.376344086021505,1117.2043010752689
AR,2017-12-07,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,16.666666666666664,1117.2043010752689
AR,2017-12-07,Trichoptera,Leptoceridae,Oecetis,Oecetis,11.827956989247312,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,136.55913978494624,1117.2043010752689
AR,2017-12-07,Hemiptera,Naucoridae,Pelocoris,Pelocoris,5.913978494623656,1117.2043010752689
AR,2017-12-07,Odonata,Libellulidae,Perithemis,Perithemis,17.741935483870968,1117.2043010752689
AR,2017-12-07,Gastropoda,Physidae,Physa,Physa,5.913978494623656,1117.2043010752689
AR,2017-12-07,Diptera,Ceratopogonidae,Probezzia,Probezzia,5.913978494623656,1117.2043010752689
AR,2017-12-07,Hemiptera,Veliidae,Rhagovelia,Rhagovelia,5.913978494623656,1117.2043010752689
AR,2017-12-07,Diptera,Simuliidae,Simulium,Simulium,16.129032258064516,1117.2043010752689
AR,2017-12-07,Trichoptera,Hydropsychidae,Smicridea,Smicridea,91.39784946236558,1117.2043010752689
AR,2017-12-07,Coleoptera,Elmidae,Stenelmis,Stenelmis,62.36559139784946,1117.2043010752689
AR,2017-12-07,Odonata,Libellulidae,Sympetrum,Sympetrum,5.376344086021505,1117.2043010752689
AR,2017-12-07,Diptera,Chironomidae,NA,Chironomidae,21.50537634408602,1117.2043010752689
AR,2017-12-07,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,120.96774193548386,1117.2043010752689
AR,2017-12-07,Coleoptera,Dytiscidae,Uvarus,Uvarus,6.451612903225806,1117.2043010752689
AR,2018-01-05,Odonata,Aeshnidae,Anax,Anax,8.602150537634408,1419.3548387096773
AR,2018-01-05,Odonata,Coenagrionidae,Argia,Argia,43.01075268817204,1419.3548387096773
AR,2018-01-05,Ephemeroptera,Caenidae,Caenis,Caenis,25.806451612903224,1419.3548387096773
AR,2018-01-05,Trichoptera,Philopotamidae,Chimarra,Chimarra,172.04301075268816,1419.3548387096773
AR,2018-01-05,Diptera,Chironomidae,NA,Chironomidae,318.2795698924731,1419.3548387096773
AR,2018-01-05,Bivalva,Corbiculidae,Corbicula,Corbicula,43.01075268817204,1419.3548387096773
AR,2018-01-05,Coleoptera,Dytiscidae,Desmopachria,Desmopachria,8.602150537634408,1419.3548387096773
AR,2018-01-05,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,17.204301075268816,1419.3548387096773
AR,2018-01-05,Odonata,Coenagrionidae,Enallagma,Enallagma,17.204301075268816,1419.3548387096773
AR,2018-01-05,Amphipoda,Hyalellidae,Hyalella,Hyalella,60.21505376344086,1419.3548387096773
AR,2018-01-05,Coleoptera,Hydrochidae,Hydrochus,Hydrochus,8.602150537634408,1419.3548387096773
AR,2018-01-05,Odonata,Libellulidae,NA,Libellulidae,8.602150537634408,1419.3548387096773
AR,2018-01-05,Gastropoda,Thiaridae,Melanoides,Melanoides,17.204301075268816,1419.3548387096773
AR,2018-01-05,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,17.204301075268816,1419.3548387096773
AR,2018-01-05,Trichoptera,Leptoceridae,Nectopsyche,Nectopsyche,25.806451612903224,1419.3548387096773
AR,2018-01-05,Trichoptera,Hydroptilidae,Ochrotrichia,Ochrotrichia,8.602150537634408,1419.3548387096773
AR,2018-01-05,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,8.602150537634408,1419.3548387096773
AR,2018-01-05,Odonata,Gomphidae,Phyllogomphoides,Phyllogomphoides,8.602150537634408,1419.3548387096773
AR,2018-01-05,Coleoptera,Scirtidae,NA,Scirtidae,17.204301075268816,1419.3548387096773
AR,2018-01-05,Diptera,Simuliidae,Simulium,Simulium,43.01075268817204,1419.3548387096773
AR,2018-01-05,Trichoptera,Hydropsychidae,Smicridea,Smicridea,292.47311827956986,1419.3548387096773
AR,2018-01-05,Coleoptera,Elmidae,Stenelmis,Stenelmis,137.63440860215053,1419.3548387096773
AR,2018-01-05,Ephemeroptera,Heptageniidae,Stenonema,Stenonema,8.602150537634408,1419.3548387096773
AR,2018-01-05,Diptera,Chironomidae,NA,Chironomidae,68.81720430107526,1419.3548387096773
AR,2018-01-05,Trichoptera,Psychomyiidae,Tinodes,Tinodes,25.806451612903224,1419.3548387096773
AR,2018-01-05,Trichoptera,NA,NA,Trichoptera,8.602150537634408,1419.3548387096773
AR,2018-02-03,Odonata,Coenagrionidae,Argia,Argia,11.29032258064516,153.2258064516129
AR,2018-02-03,Coleoptera,Hydrophilidae,Berosus,Berosus,1.075268817204301,153.2258064516129
AR,2018-02-03,Ephemeroptera,Caenidae,Caenis,Caenis,11.827956989247312,153.2258064516129
AR,2018-02-03,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius,2.6881720430107525,153.2258064516129
AR,2018-02-03,Trichoptera,Philopotamidae,Chimarra,Chimarra,4.301075268817204,153.2258064516129
AR,2018-02-03,Diptera,Chironomidae,NA,Chironomidae,9.67741935483871,153.2258064516129
AR,2018-02-03,Lepidoptera,Crambidae,NA,Crambidae,0.5376344086021505,153.2258064516129
AR,2018-02-03,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,1.075268817204301,153.2258064516129
AR,2018-02-03,Odonata,Coenagrionidae,Enallagma,Enallagma,3.225806451612903,153.2258064516129
AR,2018-02-03,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus,0.5376344086021505,153.2258064516129
AR,2018-02-03,Ephemeroptera,Baetidae,Fallceon,Fallceon,16.666666666666664,153.2258064516129
AR,2018-02-03,Odonata,Calopterygidae,Hetaerina,Hetaerina,4.838709677419355,153.2258064516129
AR,2018-02-03,Amphipoda,Hyalellidae,Hyalella,Hyalella,9.67741935483871,153.2258064516129
AR,2018-02-03,Ephemeroptera,Isonychiidae,Isonychia,Isonychia,5.376344086021505,153.2258064516129
AR,2018-02-03,Odonata,Aeshnidae,Nasiaeschna,Nasiaeschna,0.5376344086021505,153.2258064516129
AR,2018-02-03,Trichoptera,Leptoceridae,Nectopsyche,Nectopsyche,1.075268817204301,153.2258064516129
AR,2018-02-03,Trichoptera,Hydroptilidae,Ochrotrichia,Ochrotrichia,1.6129032258064515,153.2258064516129
AR,2018-02-03,Hemiptera,Naucoridae,Pelocoris,Pelocoris,1.075268817204301,153.2258064516129
AR,2018-02-03,Odonata,Libellulidae,Perithemis,Perithemis,1.075268817204301,153.2258064516129
AR,2018-02-03,Odonata,Gomphidae,Phyllogomphoides,Phyllogomphoides,3.7634408602150535,153.2258064516129
AR,2018-02-03,Decapoda,Cambaridae,Procambarus,Procambarus,1.075268817204301,153.2258064516129
AR,2018-02-03,Hemiptera,Nepidae,Ranatra,Ranatra,0.5376344086021505,153.2258064516129
AR,2018-02-03,Coleoptera,Scirtidae,NA,Scirtidae,5.376344086021505,153.2258064516129
AR,2018-02-03,Diptera,Simuliidae,Simulium,Simulium,18.279569892473116,153.2258064516129
AR,2018-02-03,Trichoptera,Hydropsychidae,Smicridea,Smicridea,19.35483870967742,153.2258064516129
AR,2018-02-03,Coleoptera,Elmidae,Stenelmis,Stenelmis,9.139784946236558,153.2258064516129
AR,2018-02-03,Diptera,Chironomidae,NA,Chironomidae,6.451612903225806,153.2258064516129
AR,2018-02-03,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,1.075268817204301,153.2258064516129
AR,2018-03-03,Odonata,Coenagrionidae,Argia,Argia,33.33333333333333,819.8924731182796
AR,2018-03-03,Ephemeroptera,Caenidae,Caenis,Caenis,118.2795698924731,819.8924731182796
AR,2018-03-03,Diptera,Ceratopogonidae,NA,Ceratopogonidae,5.376344086021505,819.8924731182796
AR,2018-03-03,Trichoptera,Philopotamidae,Chimarra,Chimarra,23.118279569892472,819.8924731182796
AR,2018-03-03,Diptera,Chironomidae,NA,Chironomidae,12.903225806451612,819.8924731182796
AR,2018-03-03,Diptera,Chironomidae,NA,Chironomidae,97.84946236559139,819.8924731182796
AR,2018-03-03,Bivalva,Corbiculidae,Corbicula,Corbicula,5.376344086021505,819.8924731182796
AR,2018-03-03,Coleoptera,Dytiscidae,Desmopachria,Desmopachria,5.913978494623656,819.8924731182796
AR,2018-03-03,Odonata,Coenagrionidae,Enallagma,Enallagma,5.376344086021505,819.8924731182796
AR,2018-03-03,Ephemeroptera,Baetidae,Fallceon,Fallceon,63.44086021505376,819.8924731182796
AR,2018-03-03,Amphipoda,Hyalellidae,Hyalella,Hyalella,74.19354838709677,819.8924731182796
AR,2018-03-03,Coleoptera,Hydrochidae,Hydrochus,Hydrochus,40.32258064516129,819.8924731182796
AR,2018-03-03,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche,5.376344086021505,819.8924731182796
AR,2018-03-03,Ephemeroptera,Isonychiidae,Isonychia,Isonychia,5.376344086021505,819.8924731182796
AR,2018-03-03,Gastropoda,Thiaridae,Melanoides,Melanoides,16.666666666666664,819.8924731182796
AR,2018-03-03,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,30.10752688172043,819.8924731182796
AR,2018-03-03,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,39.247311827956985,819.8924731182796
AR,2018-03-03,Odonata,Libellulidae,Perithemis,Perithemis,5.913978494623656,819.8924731182796
AR,2018-03-03,Coleoptera,Scirtidae,NA,Scirtidae,23.118279569892472,819.8924731182796
AR,2018-03-03,Trichoptera,Hydropsychidae,Smicridea,Smicridea,24.193548387096772,819.8924731182796
AR,2018-03-03,Ephemeroptera,Heptageniidae,Stenacron,Stenacron,7.526881720430107,819.8924731182796
AR,2018-03-03,Coleoptera,Elmidae,Stenelmis,Stenelmis,40.32258064516129,819.8924731182796
AR,2018-03-03,Diptera,Chironomidae,NA,Chironomidae,17.741935483870968,819.8924731182796
AR,2018-03-03,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,118.81720430107526,819.8924731182796
AR,2018-04-07,Trichoptera,Hydroptilidae,Agraylea,Agraylea,8.602150537634408,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Ameletidae,Ameletus,Ameletus,17.204301075268816,1230.1075268817203
AR,2018-04-07,Odonata,Coenagrionidae,Argia,Argia,51.61290322580645,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Caenidae,Caenis,Caenis,94.6236559139785,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius,17.204301075268816,1230.1075268817203
AR,2018-04-07,Trichoptera,Philopotamidae,Chimarra,Chimarra,34.40860215053763,1230.1075268817203
AR,2018-04-07,Diptera,Chironomidae,NA,Chironomidae,17.204301075268816,1230.1075268817203
AR,2018-04-07,Diptera,Chironomidae,NA,Chironomidae,146.23655913978493,1230.1075268817203
AR,2018-04-07,Bivalva,Corbiculidae,Corbicula,Corbicula,8.602150537634408,1230.1075268817203
AR,2018-04-07,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,51.61290322580645,1230.1075268817203
AR,2018-04-07,Odonata,Coenagrionidae,Enallagma,Enallagma,17.204301075268816,1230.1075268817203
AR,2018-04-07,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus,8.602150537634408,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Baetidae,Fallceon,Fallceon,129.03225806451613,1230.1075268817203
AR,2018-04-07,Odonata,Calopterygidae,Hetaerina,Hetaerina,8.602150537634408,1230.1075268817203
AR,2018-04-07,Coleoptera,Elmidae,Hexacylloepus,Hexacylloepus,17.204301075268816,1230.1075268817203
AR,2018-04-07,Amphipoda,Hyalellidae,Hyalella,Hyalella,17.204301075268816,1230.1075268817203
AR,2018-04-07,Coleoptera,Hydrochidae,Hydrochus,Hydrochus,43.01075268817204,1230.1075268817203
AR,2018-04-07,Trichoptera,Hydroptilidae,Ithytrichia,Ithytrichia,8.602150537634408,1230.1075268817203
AR,2018-04-07,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,43.01075268817204,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,51.61290322580645,1230.1075268817203
AR,2018-04-07,Coleoptera,Haliplidae,Peltodytes,Peltodytes,17.204301075268816,1230.1075268817203
AR,2018-04-07,Gastropoda,Physidae,Physa,Physa,34.40860215053763,1230.1075268817203
AR,2018-04-07,Bivalva,Pisidiidae,NA,Pisidiidae,8.602150537634408,1230.1075268817203
AR,2018-04-07,Diptera,Ceratopogonidae,Probezzia,Probezzia,8.602150537634408,1230.1075268817203
AR,2018-04-07,Decapoda,Cambaridae,Procambarus,Procambarus,8.602150537634408,1230.1075268817203
AR,2018-04-07,Hemiptera,Veliidae,Rhagovelia,Rhagovelia,172.04301075268816,1230.1075268817203
AR,2018-04-07,Coleoptera,Scirtidae,NA,Scirtidae,25.806451612903224,1230.1075268817203
AR,2018-04-07,Trichoptera,Hydropsychidae,Smicridea,Smicridea,8.602150537634408,1230.1075268817203
AR,2018-04-07,Coleoptera,Elmidae,Stenelmis,Stenelmis,86.02150537634408,1230.1075268817203
AR,2018-04-07,Diptera,Chironomidae,NA,Chironomidae,17.204301075268816,1230.1075268817203
AR,2018-04-07,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,51.61290322580645,1230.1075268817203
AR,2018-05-12,Trichoptera,Hydroptilidae,Agraylea,Agraylea,2.150537634408602,430.1075268817204
AR,2018-05-12,Odonata,Coenagrionidae,Argia,Argia,41.39784946236559,430.1075268817204
AR,2018-05-12,Ephemeroptera,Caenidae,Caenis,Caenis,93.01075268817203,430.1075268817204
AR,2018-05-12,Trichoptera,Philopotamidae,Chimarra,Chimarra,4.838709677419355,430.1075268817204
AR,2018-05-12,Diptera,Chironomidae,NA,Chironomidae,4.838709677419355,430.1075268817204
AR,2018-05-12,Diptera,Chironomidae,NA,Chironomidae,10.75268817204301,430.1075268817204
AR,2018-05-12,Odonata,Coenagrionidae,NA,Coenagrionidae,3.225806451612903,430.1075268817204
AR,2018-05-12,Coleoptera,Elmidae,Dubiraphia,Dubiraphia,17.741935483870968,430.1075268817204
AR,2018-05-12,Odonata,Coenagrionidae,Enallagma,Enallagma,5.376344086021505,430.1075268817204
AR,2018-05-12,Odonata,Gomphidae,Erpetogomphus,Erpetogomphus,4.301075268817204,430.1075268817204
AR,2018-05-12,Ephemeroptera,Baetidae,Fallceon,Fallceon,4.838709677419355,430.1075268817204
AR,2018-05-12,Coleoptera,Elmidae,Hexacylloepus,Hexacylloepus,5.913978494623656,430.1075268817204
AR,2018-05-12,Amphipoda,Hyalellidae,Hyalella,Hyalella,16.666666666666664,430.1075268817204
AR,2018-05-12,Coleoptera,Hydrochidae,Hydrochus,Hydrochus,9.67741935483871,430.1075268817204
AR,2018-05-12,Coleoptera,Dytiscidae,Hydrovatus,Hydrovatus,2.150537634408602,430.1075268817204
AR,2018-05-12,Ephemeroptera,Isonychiidae,Isonychia,Isonychia,2.6881720430107525,430.1075268817204
AR,2018-05-12,Coleoptera,Hydrophilidae,Laccobius,Laccobius,2.6881720430107525,430.1075268817204
AR,2018-05-12,Gastropoda,Thiaridae,Melanoides,Melanoides,6.989247311827957,430.1075268817204
AR,2018-05-12,Hemiptera,Gerridae,Metrobates,Metrobates,4.838709677419355,430.1075268817204
AR,2018-05-12,Coleoptera,Elmidae,Microcylloepus,Microcylloepus,5.376344086021505,430.1075268817204
AR,2018-05-12,Coleoptera,Dytiscidae,Neoporus,Neoporus,2.6881720430107525,430.1075268817204
AR,2018-05-12,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Paraleptophlebia,37.096774193548384,430.1075268817204
AR,2018-05-12,Coleoptera,Haliplidae,Peltodytes,Peltodytes,2.150537634408602,430.1075268817204
AR,2018-05-12,Odonata,Gomphidae,Phyllogomphoides,Phyllogomphoides,2.150537634408602,430.1075268817204
AR,2018-05-12,Hemiptera,Veliidae,Rhagovelia,Rhagovelia,6.451612903225806,430.1075268817204
AR,2018-05-12,Coleoptera,Scirtidae,NA,Scirtidae,22.043010752688172,430.1075268817204
AR,2018-05-12,Trichoptera,Hydropsychidae,Smicridea,Smicridea,25.268817204301072,430.1075268817204
AR,2018-05-12,Coleoptera,Elmidae,Stenelmis,Stenelmis,46.236559139784944,430.1075268817204
AR,2018-05-12,Diptera,Chironomidae,NA,Chironomidae,21.50537634408602,430.1075268817204
AR,2018-05-12,Trichoptera,NA,NA,Trichoptera,2.150537634408602,430.1075268817204
AR,2018-05-12,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes,12.903225806451612,430.1075268817204
AR,2018-06-08,Odonata,Coenagrionidae,Argia,Argia,34.40860215053763,576.3440860215054
AR,2018-06-08,Ephemeroptera,Caenidae,Caenis,Caenis,34.40860215053763,576.3440860215054
AR,2018-06-08,Ephemeroptera,Baetidae,Callibaetis,Callibaetis,8.602150537634408,576.3440860215054
AR,2018-06-08,Trichoptera,Philopotamidae,Chimarra,Chimarra,4.301075268817204,576.3440860215054
