site,guild,species,nitrogen,hydrogen,trophic_category,trophic_level_fbase,size_max,s.hydrogen_mean,s.hydrogen_n,s.hydrogen_sd,s.hydrogen_se,s.carbon_mean,s.carbon_n,s.carbon_sd,s.carbon_se,s.nitrogen_mean,s.nitrogen_n,s.nitrogen_sd,s.nitrogen_se,carbon,t.hydrogen_mean,t.hydrogen_n,t.hydrogen_sd,t.hydrogen_se,t.carbon_mean,t.carbon_n,t.carbon_sd,t.carbon_se,t.nitrogen_mean,t.nitrogen_n,t.nitrogen_sd,t.nitrogen_se
AR,fish,A.natalis,21.38792308,-118.1091593,F-3,3.33,80,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-27.17557699,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,fish,A.natalis,17.54647938,-87.34820204,F-3,3.33,80,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-26.00796646,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,fish,A.natalis,20.08985003,-100.47175850000001,F-3,3.33,80,-101.97637328,3,15.435576507375178,8.911734251630122,-26.522394986666665,3,0.5960436082259721,0.34412593765802085,19.67475083,3,1.9540734209460762,1.12818481559951,-26.38364151,-101.607895063,15,8.938806706261692,2.307989967221247,-25.645160807761904,15,0.8759150393939776,0.2261602906843659,17.45028017842857,15,1.8000500711398595,0.4647709298576101
AR,invertebrate,Aeshnidae,11.61035782,-95.25449627,I-3,3,NA,-95.25449627,1,NA,NA,-31.32331447,1,NA,NA,11.61035782,1,NA,NA,-31.32331447,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,Aquatic primary producer,aquatic vegetation,18.04175667,-99.47249264,A-1,1,NA,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.07385596,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,Aquatic primary producer,aquatic vegetation,17.74438731,-97.23160846,A-1,1,NA,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.13213242,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,Aquatic primary producer,aquatic vegetation,17.98593648,-93.41309251,A-1,1,NA,-96.70573120333333,3,3.063738345660486,1.7688501585936602,-31.100219120000002,3,0.029532007856690815,0.017050312685770584,17.92402682,3,0.15805612473956576,0.09125374616545737,-31.09466898,-134.36938673083333,12,32.96228758917835,9.515392806358992,-23.003953656666667,12,6.715290343030359,1.9385373436175362,16.885729074166665,12,1.2092930836210833,0.34909284367889254
AR,invertebrate,Coenagrionidae,17.69161186,-95.36765386,I-3,3,NA,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-27.74481313,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,invertebrate,Coenagrionidae,19.835107,-96.96764910499999,I-3,3,NA,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-27.41700804,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
AR,invertebrate,Coenagrionidae,17.48456972,-98.56764435,I-3,3,NA,-96.96764910499999,3,2.2627349752114565,1.5999952449999952,-27.87975089,3,0.542937038647169,0.3134648454159613,18.337096193333334,3,1.3014391628507016,0.7513862510057738,-28.4774315,-92.7130851215,10,7.873110634564515,2.4896961875717456,-28.107862543,10,1.4841019918543852,0.4693142574252516,15.454326012,10,2.4852889024344944,0.7859173575232992
