Guild,Species,Site,d2H,d13C,d15N
Aquatic,Filamentous Algae,Semi-Arid,-129.6 ± 7.8 (3),-24.7 ± 7.2 (3),11.3 ± 4.0 (3)
Aquatic,Filamentous Algae,Transition,-176.5 ± 31.8 (3),-25.2 ± 6.1 (3),17.5 ± 2.4 (3)
Aquatic,Filamentous Algae,Sub-Humid,-148.7 ± 14.5 (6),-37.8 ± 3.7 (6), 4.8 ± 1.2 (6)
Aquatic,Periphyton,Semi-Arid,-110.4 ± 8.7 (8),-24.2 ± 1.2 (8),11.5 ± 1.0 (8)
Aquatic,Periphyton,Transition,-132.1 ± 8.5 (6),-17.9 ± 4.2 (6),16.1 ± 0.6 (6)
Aquatic,Periphyton,Sub-Humid,-122.4 ± 4.5 (6),-30.7 ± 0.6 (6), 6.3 ± 3.4 (6)
Terrestrial,C3 Grass,Semi-Arid, -75.2 ± 0.3 (2),-21.6 ± 9.3 (2),14.4 ± 1.7 (2)
Terrestrial,C3 Grass,Transition, -94.8 ± 6.2 (3),-31.3 ± 0.6 (3),11.8 ± 2.9 (3)
Terrestrial,C3 Grass,Sub-Humid, -85.6 ± 16.9 (3),-31.3 ± 0.6 (3), 2.4 ± 2.3 (3)
Terrestrial,Green Leaves,Semi-Arid, -94.3 ± 4.4 (3),-30.9 ± 1.8 (3),13.4 ± 2.3 (3)
Terrestrial,Green Leaves,Transition, -83.0 ± 19.5 (3),-31.6 ± 0.8 (3), 6.8 ± 2.8 (3)
Terrestrial,Green Leaves,Sub-Humid, -82.1 ± 20.5 (3),-31.8 ± 0.7 (3), 3.0 ± 1.8 (3)
Fish,Ameiurus Natalis,Transition,-102.0 ± 15.4 (3),-26.5 ± 0.6 (3),19.7 ± 2.0 (3)
Fish,Ameiurus Natalis,Sub-Humid, -85.7 ± 6.8 (12),-27.9 ± 0.5 (12), 9.2 ± 0.7 (12)
Fish,Cyprinella Lutrensis,Semi-Arid, -93.3 (1),-25.4 (1),14.0 (1)
Fish,Cyprinella Lutrensis,Transition,-133.0 ± 26.3 (3),-27.0 ± 1.5 (3),18.4 ± 1.5 (3)
Fish,Etheostoma Gracile,Sub-Humid, -86.2 (1),-30.6 (1), 8.6 (1)
Fish,Herichthys Cyanoguttatus,Semi-Arid, -93.5 ± 9.6 (4),-24.5 ± 1.7 (4),15.5 ± 0.6 (4)
Fish,Herichthys Cyanoguttatus,Transition,-101.8 ± 9.7 (8),-26.6 ± 1.0 (8),18.2 ± 1.9 (8)
Fish,Ictalurus Punctatus,Transition,-110.8 ± 2.8 (3),-27.8 ± 0.6 (3),19.7 ± 0.4 (3)
Fish,Lepisosteus Oculatus,Semi-Arid,-104.9 ± 2.1 (2),-23.2 ± 0.2 (2),18.2 ± 0.7 (2)
Fish,Lepisosteus Oculatus,Sub-Humid, -79.3 ± 10 (2),-26.2 ± 0.4 (2),12.6 ± 1.8 (2)
Fish,Lepomis Auritus,Sub-Humid, -87.2 ± 7.7 (8),-28.2 ± 1.6 (8), 9.8 ± 1.2 (8)
Fish,Lepomis Cyanellus,Semi-Arid, -97.5 ± 15.1 (4),-25.0 ± 1.4 (4),14.5 ± 2.3 (4)
Fish,Lepomis Cyanellus,Transition, -95.4 ± 10.7 (9),-25.4 ± 1.3 (9),14.9 ± 2.4 (9)
Fish,Lepomis Cyanellus,Sub-Humid, -87.2 ± 5 (4),-28.7 ± 2.1 (4),10.4 ± 1.5 (4)
Fish,Lepomis Gulosus,Semi-Arid,-104.1 ± 7.9 (3),-25.6 ± 0.3 (3),14.8 ± 2.5 (3)
Fish,Lepomis Gulosus,Transition,-103.0 ± 15.2 (3),-26.2 ± 0.6 (3),18.2 ± 0.5 (3)
Fish,Lepomis Gulosus,Sub-Humid, -82.1 ± 2 (5),-28.8 ± 0.6 (5), 9.5 ± 0.3 (5)
Fish,Lepomis Macrochirus,Semi-Arid,-103.2 ± 5.7 (3),-25.5 ± 1.5 (3),14.7 ± 1.5 (3)
Fish,Lepomis Macrochirus,Transition,-101.0 ± 8.2 (9),-25.2 ± 0.8 (9),16.5 ± 1.4 (9)
Fish,Lepomis Macrochirus,Sub-Humid, -80.9 ± 10.1 (10),-27.4 ± 1.6 (10),11.8 ± 4.0 (10)
Fish,Lepomis Megalotis,Sub-Humid, -87.6 ± 8 (4),-28.9 ± 1.0 (4), 9.6 ± 0.2 (4)
Fish,Lepomis Microlophus,Sub-Humid, -91.4 ± 3.1 (3),-29.9 ± 0.2 (3), 8.7 ± 0.5 (3)
Fish,Micropterus Salmoides,Transition,-105.4 ± 3.6 (3),-26.5 ± 0.3 (3),22.1 ± 0.4 (3)
Fish,Micropterus Salmoides,Sub-Humid, -99.6 (1),-29.6 (1),10.1 (1)
Fish,Poecilia Latipinna,Semi-Arid,-123.2 ± 15.5 (11),-25.2 ± 0.8 (11),13.4 ± 1.2 (11)
Fish,Poecilia Latipinna,Transition, -99.3 ± 9.9 (3),-24.9 ± 1.3 (3),17.4 ± 1.8 (3)
Fish,Poecilia Latipinna,Sub-Humid, -86.3 ± 5.4 (4),-27.0 ± 0.7 (4),10.9 ± 2.0 (4)
Fish,Pylodictis Olivaris,Transition,-103.7 (2),-26.4 (2),20.6 (2)
Invertebrate,Aeshnidae,Semi-Arid, -87.0 (1),-27.7 (1),17.1 (1)
Invertebrate,Aeshnidae,Transition, -95.3 (1),-31.3 (1),11.6 (1)
Invertebrate,Annelidae,Semi-Arid, -84.0 (1),-25.4 (1),13.3 (1)
Invertebrate,Belastomatidae,Semi-Arid,-115.4 ± 19.5 (2),-22.4 ± 0.3 (2), 8.5 ± 0.8 (2)
Invertebrate,Chironomidae,Semi-Arid, -90.1 (1),-25.9 (1),14.0 (1)
Invertebrate,Coenagrionidae,Semi-Arid, -86.1 ± 15.5 (2),-26.2 ± 0.7 (2),13.7 ± 0.5 (2)
Invertebrate,Coenagrionidae,Transition, -97.0 ± 2.3 (3),-27.9 ± 0.5 (3),18.3 ± 1.3 (3)
Invertebrate,Coenagrionidae,Sub-Humid,-101.0 (1),-32.2 (1), 7.8 (1)
Invertebrate,Corbiculidae,Semi-Arid, -93.7 ± 2.7 (4),-26.3 ± 0.2 (4),10.8 ± 0.4 (4)
Invertebrate,Corbiculidae,Transition, -90.5 ± 4.7 (4),-26.2 ± 1.0 (4),12.1 ± 1.7 (4)
Invertebrate,Corbiculidae,Sub-Humid, -89.4 ± 7.6 (3),-32.3 ± 0.6 (3), 5.9 ± 0.3 (3)
Invertebrate,Corduliidae,Semi-Arid, -92.2 (1),-27.5 (1),13.2 (1)
Invertebrate,Corduliidae,Transition, -80.4 (1),-27.9 (1),16.7 (1)
Invertebrate,Corduliidae,Sub-Humid, -68.8 (1),-31.8 (1), 9.0 (1)
Invertebrate,Corydalidae,Transition, -74.5 (1),-27.6 (1),14.0 (1)
Invertebrate,Dogielinotidae,Transition,-100.0 (1),-26.0 (1),15.4 (1)
Invertebrate,Dogielinotidae,Sub-Humid,-122.1 (1),-32.9 (1), 8.5 (1)
Invertebrate,Dystiscidae,Sub-Humid,-122.4 ± 24.9 (2),-31.8 ± 8.9 (2), 6.0 ± 1.8 (2)
Invertebrate,Elmidae,Transition, -89.6 ± 12.5 (2),-28.4 ± 0.2 (2),14.1 ± 1.5 (2)
Invertebrate,Gomphidae,Transition, -92.7 (1),-27.6 (1),16.2 (1)
Invertebrate,Gyrinidae,Transition, -97.7 (1),-29.5 (1),12.7 (1)
Invertebrate,Gyrinidae,Sub-Humid,-111.8 (1),-28.6 (1), 5.7 (1)
Invertebrate,Hydropsychidae,Transition,-121.4 (1),-29.4 (1),16.0 (1)
Invertebrate,Leptophlebiidae,Transition,-111.4 (1),-30.0 (1),15.3 (1)
Invertebrate,Leptophlebiidae,Sub-Humid,-110.4 (1),-35.2 (1), 4.4 (1)
Invertebrate,Nepidae,Semi-Arid, -88.5 ± 16 (3),-25.9 ± 2.3 (3), 9.4 ± 4.7 (3)
Invertebrate,Nepidae,Transition, -87.6 ± 4.3 (2),-26.4 ± 0.3 (2),14.6 ± 0.7 (2)
Invertebrate,Palaemonidae,Transition, -98.6 ± 8.6 (2),-26.1 ± 0.6 (2),18.5 ± 0.5 (2)
Invertebrate,Palaemonidae,Sub-Humid, -93.9 (1),-29.4 (1), 9.4 (1)
Invertebrate,Thiaridae,Semi-Arid, -94.9 (1),-25.2 (1),12.9 (1)
Invertebrate,Thiaridae,Transition,-133.6 (1),-25.5 (1),17.8 (1)
Invertebrate,Veliidae,Transition,-100.8 (1),-28.6 (1),15.8 (1)
