vector,axis1,axis2,r2,p
Algae,-0.28,-0.96,0.07,0.79  
Canopy,-0.91,-0.41,0.02,0.96  
Conductivity,-0.94, 0.34,0.72,0.02* 
Flow,-0.36,-0.93,0.29,0.35  
Max Depth, 0.88,-0.47,0.11,0.68  
Nitrate,-1.00,-0.01,0.53,0.10  
Anax,-0.02, 0.01,0.10,0.80  
Aphididae,-0.03, 0.03,0.05,0.82  
Argia,-0.23,-0.01,0.53,0.10  
Caenis,-0.18, 0.14,0.62,0.05  
Carabidae,-0.01,-0.04,0.46,0.23  
Ceratopogon,-0.01, 0.06,0.70,0.09  
Chironomidae,-0.42,-0.14,0.78,0.01* 
Chrysomelidae,-0.02,-0.05,0.46,0.23  
Corbicula,-0.09, 0.17,0.59,0.07  
Enallagma,-0.06,-0.07,0.37,0.26  
Erpetogomphus,-0.08,-0.07,0.55,0.07  
Hyalella, 0.70, 0.00,0.99,0.00**
Hydropsyche,-0.02, 0.10,0.70,0.09  
Libellulidae,-0.02, 0.01,0.10,0.80  
Melanoides,-0.22,-0.10,0.78,0.02* 
Microcylloepus,-0.10, 0.08,0.62,0.05  
Odontomyia,-0.07,-0.05,0.57,0.10  
Probezzia,-0.03, 0.05,0.01,0.99  
Protoneura,-0.07, 0.04,0.10,0.80  
Ranatra,-0.05, 0.07,0.48,0.16  
Rhagovelia,-0.23, 0.15,0.67,0.03* 
Scirtidae, 0.05,-0.12,0.16,0.58  
