Group,Semi-Arid,Sub-Humid,Transition
Fish,"1.7 (1.5, 1.9)∗∗","3.1 (3.0, 3.3)∗∗","2.8 (2.6, 3.0)∗∗"
F-Herbivore,"1.4 (1.2, 1.6)∗∗","3.2 (2.8, 3.7)∗ ","2.6 (2.1, 3.1)∗ "
P.latipinna,"1.4 (1.2, 1.6)∗∗","3.2 (2.8, 3.7)∗ ","2.6 (2.1, 3.1)∗ "
F-Invertivore,"1.7 (1.5, 2.0)∗∗","3.1 (2.9, 3.3)∗∗","2.7 (2.5, 2.9)∗∗"
L.macrochirus,"1.7 (1.2, 2.1)∗∗","3.6 (3.0, 4.2)∗∗","2.3 (2.1, 2.6)∗∗"
F-Piscivore,"2.1 (1.5, 2.6)∗ ","3.1 (2.9, 3.3)∗ ","2.9 (2.5, 3.3)  "
L.cyanellus,"1.7 (1.2, 2.3)∗ ","3.2 (3.0, 3.4)∗∗","2.1 (2.0, 2.3)∗ "
L.gulosus,"1.7 (1.1, 2.3)∗∗","2.9 (2.9, 3.0)∗ ","2.8 (2.7, 2.9)∗ "
Invertebrate,"1.2 (1.1, 1.4)∗∗","1.9 (1.6, 2.2)∗ ","2.2 (1.9, 2.5)∗ "
I-Filterer,"1.0 (1.0, 1.0)∗ ","1.8 (1.7, 1.9)∗ ","1.4 (1.0, 1.9)  "
Corbiculidae,"1.0 (1.0, 1.0)∗ ","1.8 (1.7, 1.9)∗∗","1.2 (0.9, 1.6)∗ "
I-Predator,"1.3 (1.1, 1.6)∗ ","1.9 (1.5, 2.3)  ","2.4 (2.0, 2.7)∗ "
