Guild,Estimate,Unit,Semi-Arid,Transition,Sub-Humid
Invertebrate,C-Range,‰,"  5.7 ( 4.8,   7.3)∗","  6.0 ( 5.1,   8.1)∗"," 12.6 (10.3,  19.8)∗∗"
Invertebrate,Ellipse Area,‰²,"100.9 (57.2, 164.9)"," 97.3 (61.5, 146.1)"," 92.1 (44.4, 172.8)"
Invertebrate,H-Range,‰," 54.1 (40.7,  88.3)"," 61.1 (51.6,  88.2)"," 70.4 (59.3, 108.0)"
Invertebrate,N-Range,‰," 11.6 ( 9.9,  17.1)∗","  9.6 ( 8.6,  12.2)∗","  5.0 ( 4.3,   6.7)∗∗"
Invertebrate,Neighbor Distance,‰,"  3.7 ( 2.7,   4.8)∗","  0.9 ( 0.2,   1.8)∗∗"," 18.6 (17.0,  20.2)∗∗"
Fish,C-Range,‰,"  4.3 ( 4.0,   5.2)","  4.4 ( 4.0,   5.2)","  5.7 ( 5.2,   7.2)"
Fish,Ellipse Area,‰²," 88.3 (60.4, 132.6)∗"," 56.6 (42.2,  77.9)"," 42.9 (31.9,  55.2)∗"
Fish,H-Range,‰," 58.5 (51.2,  73.4)"," 42.8 (38.4,  57.0)"," 41.3 (33.1,  60.4)"
Fish,N-Range,‰,"  7.0 ( 6.1,   9.0)","  8.3 ( 7.8,   9.7)"," 11.0 ( 8.4,  16.3)"
Fish,Neighbor Distance,‰,"  5.0 ( 4.2,   5.9)∗∗","  0.9 ( 0.2,   1.6)∗∗","  3.6 ( 3.0,   4.1)∗"
