site,m_group,dataset,mean,sd,2.5%,25%,50%,75%,97.5%
Sub-Humid,Fish,Guild,4.930456714556879,2.4443506102176125,1.1066374576380817,3.0691572305775017,4.651692133012504,6.511869675235733,10.336341045259534
Sub-Humid,Invertebrate,Guild,31.6426912651493,11.341242870032321,10.379915080524448,23.70345409738785,31.590344620542755,38.91805048227299,54.64274315006637
Transition,Fish,Guild,36.071224063582854,2.185439815399925,31.66848460666331,34.74104420320007,36.11232542599614,37.482539216999264,40.23951275980675
Transition,Invertebrate,Guild,28.1637955613708,3.526010067481037,20.32407939706075,26.30020221947664,28.422419832862957,30.415706770085315,34.55688834929353
Semi-Arid,Fish,Guild,75.3590351251409,5.732269685781562,65.13976275765508,71.28501740037527,75.12622308753122,79.0867938540865,87.38679626329157
Semi-Arid,Invertebrate,Guild,57.23411728522473,8.706263154409724,38.11576715931803,52.15425407649119,57.57234706212495,63.015992981960004,73.37608471139632
Sub-Humid,F-Herbivore,Trophic,18.369662715182905,12.494447573239546,2.5669799958662636,9.622457134512342,16.076536297033734,23.888751356746702,51.32579115016589
Sub-Humid,F-Invertivore,Trophic,5.025940042173362,2.6827858409477305,0.9928005238922905,3.0041736486101027,4.697062644930347,6.611267875558176,11.131700095803499
Sub-Humid,F-Piscivore,Trophic,9.924207336469749,4.923914301145501,2.048460397757331,6.2528610952265,9.393849580888103,13.048076719842799,20.6426416123822
Sub-Humid,I-Filterer,Trophic,19.923374426056625,12.012284015661429,3.590868916044017,11.714990374285948,17.876286041124008,25.42117776464466,51.23626144934854
Sub-Humid,I-Gatherer,Trophic,46.12067973051615,18.748363420918174,9.904455055886345,33.37506662945635,46.01178009724127,58.14295558245441,85.27413803876847
Sub-Humid,I-Predator,Trophic,40.771281304867806,20.610292293593638,7.0506179788575745,24.897099748193664,39.05526998097748,54.71450584244981,85.33744793264655
Transition,F-Herbivore,Trophic,39.119566138090924,17.401160482707326,8.114728629934058,26.741674261409837,38.81483806070044,49.9365922562024,77.12058612363457
