labels,collection_date,year,month,day,axis1,axis2,c_type
Semi-Arid,2018-05-12,2018,5,12,-0.2832544843031439,1.0870213544885978,Site
Semi-Arid,2018-06-01,2018,6,01,-0.3847500521986626,0.06738431530754385,Site
Semi-Arid,2018-07-01,2018,7,01,-0.3201456568926218,-0.8162652205562669,Site
Transition,2018-05-12,2018,5,12,-0.2478265907993482,-0.057576023701038453,Site
Transition,2018-06-08,2018,6,08,-0.4842049674168096,-0.2594450256155643,Site
Transition,2018-07-01,2018,7,01,0.019856253410422478,0.1754759356668806,Site
Sub-Humid,2018-05-04,2018,5,04,0.4498088986852206,0.10342034139564044,Site
Sub-Humid,2018-06-06,2018,6,06,0.7716667630156258,-0.17284381482467662,Site
Sub-Humid,2018-07-05,2018,7,05,0.4788498364993166,-0.12717186216111667,Site
Argia,NA,NA,NA,NA,-0.22546768234436798,-0.013284442673651994,Species
Caenis,NA,NA,NA,NA,-0.18083446379068924,0.14010799918228242,Species
Ceratopogon,NA,NA,NA,NA,-0.013258449592539301,0.06443280551346062,Species
Chironomidae,NA,NA,NA,NA,-0.41896375978833417,-0.14109146286159108,Species
Corbicula,NA,NA,NA,NA,-0.08578819642517808,0.16799573939414197,Species
Enallagma,NA,NA,NA,NA,-0.058404805818431244,-0.0667122724467353,Species
Hyalella,NA,NA,NA,NA,0.7037094468037091,0.004384175156662748,Species
Hydropsyche,NA,NA,NA,NA,-0.020252616285189172,0.09842273616793366,Species
Microcylloepus,NA,NA,NA,NA,-0.10177770075824484,0.08310213221741249,Species
Ranatra,NA,NA,NA,NA,-0.04730641139034184,0.06819994859595359,Species
Rhagovelia,NA,NA,NA,NA,-0.23259346679030965,0.1513915936099571,Species
Anax,NA,NA,NA,NA,-0.02352369527294877,0.013931628195761396,Species
Aphididae,NA,NA,NA,NA,-0.03006485447869485,0.03173245475923094,Species
Libellulidae,NA,NA,NA,NA,-0.02352369527294877,0.013931628195761396,Species
Melanoides,NA,NA,NA,NA,-0.21523348217048924,-0.09627453705440457,Species
Probezzia,NA,NA,NA,NA,-0.028382843692687183,0.04721530767420537,Species
Protoneura,NA,NA,NA,NA,-0.06858276776278206,0.040617326913177584,Species
Scirtidae,NA,NA,NA,NA,0.04981625260816468,-0.11568603330160812,Species
Carabidae,NA,NA,NA,NA,-0.013646092587501163,-0.03738850296775547,Species
Chrysomelidae,NA,NA,NA,NA,-0.019298489210643123,-0.05287532797382653,Species
Erpetogomphus,NA,NA,NA,NA,-0.08143305515937119,-0.074628915310956,Species
Odontomyia,NA,NA,NA,NA,-0.06899584008648008,-0.05178433681827851,Species
