site,m_group,n,mu,lower,upper,signif
Semi-Arid,Fish,28,1.6900825020317394,1.5036332308493092,1.8717314620215149,∗∗
Semi-Arid,Invertebrate,16,1.2257114133064455,1.0569402140511128,1.3994371924719857,∗∗
Sub-Humid,Fish,54,3.117761864620896,2.965020024017217,3.27284522112774,∗∗
Sub-Humid,Invertebrate,11,1.885339804862178,1.6111372213858481,2.1561807705871328,∗
Transition,Fish,44,2.7607834712612886,2.566361436823582,2.951510974771981,∗∗
Transition,Invertebrate,23,2.166054058405977,1.8696414131006107,2.4585532695609977,∗
Semi-Arid,F-Herbivore,11,1.4337657989355044,1.246304179549659,1.627030946075687,∗∗
Semi-Arid,F-Invertivore,11,1.7431058740646357,1.527335289012112,1.958890364036255,∗∗
Semi-Arid,F-Piscivore,6,2.0627869423145273,1.5299199191994934,2.608113281884505,∗
Semi-Arid,I-Filterer,4,1,1,1,∗
Semi-Arid,I-Predator,9,1.3357576485509177,1.0533134896110354,1.6212465907691151,∗
Sub-Humid,F-Herbivore,4,3.2494527032862575,2.843800707172709,3.6659280132706416,∗
Sub-Humid,F-Invertivore,36,3.114496104763974,2.90605083896381,3.319588925794857,∗∗
Sub-Humid,F-Piscivore,14,3.0885335789200203,2.884429588394719,3.292064067899296,∗
Sub-Humid,I-Filterer,3,1.767840699263285,1.6772684108854712,1.858041961289652,∗
Sub-Humid,I-Predator,5,1.890653676104272,1.5010924200781832,2.2770762265540934,NA
Transition,F-Herbivore,3,2.5554026513736554,2.0610206553401476,3.0695478364582662,∗
Transition,F-Invertivore,25,2.703286658265757,2.507666412293368,2.8985477229126446,∗∗
Transition,F-Piscivore,16,2.889131145295738,2.472810141282444,3.2948525255388854,NA
Transition,I-Filterer,5,1.442602609866901,0.9525114666787332,1.9152846198088076,NA
Transition,I-Predator,11,2.373874271817604,1.977528410050896,2.7482946923175087,∗
Semi-Arid,Corbiculidae,4,1,1,1,∗
Semi-Arid,L.cyanellus,4,1.7155614532301333,1.1727214815901463,2.255046178154947,∗
Semi-Arid,L.gulosus,3,1.7315214739219094,1.1247985175497752,2.331474710954919,∗∗
Semi-Arid,L.macrochirus,3,1.657947759902472,1.2481935496473726,2.0703009108459174,∗∗
Semi-Arid,P.latipinna,11,1.4337657989355044,1.2388592946161705,1.631124798151182,∗∗
Sub-Humid,Corbiculidae,3,1.767840699263285,1.6789354867283084,1.8533288856826058,∗∗
Sub-Humid,L.cyanellus,4,3.1745141655271634,2.9583206086906824,3.392082874110808,∗∗
Sub-Humid,L.gulosus,5,2.941071889977793,2.877554309758289,3.0030727066272727,∗
Sub-Humid,L.macrochirus,10,3.615083210977793,3.016218984637475,4.242239372559484,∗∗
Sub-Humid,P.latipinna,4,3.2494527032862575,2.844192865419742,3.662955011959951,∗
Transition,Corbiculidae,4,1.2282249685165352,0.8632472871916587,1.5942532470374884,∗
Transition,L.cyanellus,8,2.1033109119317674,1.952186399436456,2.2549353112998802,∗
Transition,L.gulosus,3,2.828806598332984,2.7350595415017773,2.922466026101106,∗
Transition,L.macrochirus,9,2.335188139719538,2.1014627492000115,2.5588678951628125,∗∗
Transition,P.latipinna,3,2.5554026513736554,2.0651296494655984,3.0535258934623295,∗
