site,guild,density_total_mean,density_total_sd,lowest_taxon,density_mean,density_sd,date,stream_area,order,family,genus,species,abun,total_abun,month,density,density_total
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,C.carpio,0.019393939393939394,NA,2018-07-01,206.25,Cyprinidontiformes,Cyprinidae,Cyprinus,carpio,4,149,July,0.019393939393939394,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,C.lutrensis,0.05153102382808773,0.03347440430537511,2018-05-12,217.125,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,16,199,May,0.0736902705814623,0.9165227403569373
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,C.lutrensis,0.05153102382808773,0.03347440430537511,2018-06-01,230.34375,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,3,410,June,0.013024013024013023,1.7799484466151132
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,C.lutrensis,0.05153102382808773,0.03347440430537511,2018-07-01,206.25,Cypriniformes,Leuciscidae,Cyprinella,lutrensis,14,149,July,0.06787878787878789,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,C.variegatus,0.03393939393939394,NA,2018-07-01,206.25,Cyprinidontiformes,Cyprinodontidae,Cyprinodon,variegatus,7,149,July,0.03393939393939394,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,G.affinis,0.21893174012920702,0.10221125205235819,2018-05-12,217.125,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,63,199,May,0.29015544041450775,0.9165227403569373
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,G.affinis,0.21893174012920702,0.10221125205235819,2018-06-01,230.34375,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,61,410,June,0.2648215981549315,1.7799484466151132
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,G.affinis,0.21893174012920702,0.10221125205235819,2018-07-01,206.25,Cyprinidontiformes,Poeciliidae,Gambusia,affinis,21,149,July,0.10181818181818182,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,H.cyanoguttatum,0.13936491790262662,0.09914324166059878,2018-05-12,217.125,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,14,199,May,0.0644789867587795,0.9165227403569373
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,H.cyanoguttatum,0.13936491790262662,0.09914324166059878,2018-06-01,230.34375,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,58,410,June,0.2517975851309185,1.7799484466151132
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,H.cyanoguttatum,0.13936491790262662,0.09914324166059878,2018-07-01,206.25,Cichliformes,Cichlidae,Herichthys,cyanoguttatum,21,149,July,0.10181818181818182,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,L.gulosus,0.019393939393939394,NA,2018-07-01,206.25,Centrachiformes,Centrarchidae,Lepomis,gulosus,4,149,July,0.019393939393939394,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,O.aureus,0.013816925734024179,NA,2018-05-12,217.125,Cichliformes,Cichlidae,Oreochromis,aureus,3,199,May,0.013816925734024179,0.9165227403569373
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.latipinna,0.6793226322069155,0.48542937589687507,2018-05-12,217.125,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,97,199,May,0.44674726540011517,0.9165227403569373
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.latipinna,0.6793226322069155,0.48542937589687507,2018-06-01,230.34375,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,285,410,June,1.2372812372812372,1.7799484466151132
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.latipinna,0.6793226322069155,0.48542937589687507,2018-07-01,206.25,Cyprinidontiformes,Poeciliidae,Poecilia,latipinna,73,149,July,0.35393939393939394,0.7224242424242424
Semi-Arid,fish,1.0620143481374278,0.44887050938862627,P.vigilax,0.03227751842605038,0.0055871070032813205,2018-05-12,217.125,Cypriniformes,Leuciscidae,Pimephales,vigilax,8,199,May,0.03684513529073115,0.9165227403569373
