order,family,genus,species,lowest_taxon,site,forklength,collection,month
Centrachiformes,Centrarchidae,Lepomis,cyanellus,L.cyanellus,Sub-Humid,73,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,cyanellus,L.cyanellus,Sub-Humid,60,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,cyanellus,L.cyanellus,Transition,142,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,cyanellus,L.cyanellus,Transition,89,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,cyanellus,L.cyanellus,Sub-Humid,87,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,60,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,74,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,80,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,68,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,70,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,65,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,76,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,59,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,49,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,62,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,59,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,50,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,58,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,48,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,39,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,40,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,73,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,61,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,55,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,40,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,58,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,90,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,68,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,65,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,63,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,79,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,52,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,40,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,111,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,80,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,80,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,45,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,65,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,90,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,112,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,53,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,42,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,46,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,61,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Transition,42,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,113,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,53,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,85,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,macrochirus,L.macrochirus,Sub-Humid,60,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,49,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,58,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,35,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,42,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,65,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,40,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,127,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,45,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,50,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,40,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,39,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,54,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,60,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,63,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,47,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,90,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,66,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,66,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,48,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,54,2018-05-04,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,130,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,81,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,134,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,83,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,48,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,71,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,64,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,56,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,73,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,59,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,44,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,108,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,51,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,52,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,56,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,68,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,72,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,73,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,69,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,48,2018-05-12,May
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,79,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,44,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,107,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,79,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,112,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,36,2018-06-06,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,37,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,89,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,58,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,49,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,69,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,47,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,63,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,65,2018-06-08,June
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,30,2018-07-02,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,49,2018-07-02,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Transition,30,2018-07-02,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,57,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,58,2018-07-09,July
Centrachiformes,Centrarchidae,Lepomis,megalotis,L.megalotis,Sub-Humid,69,2018-07-09,July
Centrachiformes,Centrarchidae,Micropterus,salmoides,M.salmoides,Transition,170,2018-05-12,May
Centrachiformes,Centrarchidae,Micropterus,salmoides,M.salmoides,Transition,35,2018-05-12,May
Centrachiformes,Centrarchidae,Micropterus,salmoides,M.salmoides,Sub-Humid,26,2018-06-06,June
Centrachiformes,Centrarchidae,Micropterus,salmoides,M.salmoides,Sub-Humid,36,2018-06-06,June
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,26,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,40,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,39,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,37,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,40,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,33,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,34,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,38,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,35,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,34,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,39,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,36,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,26,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,38,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,40,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,37,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,35,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,34,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,44,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Sub-Humid,39,2018-05-04,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,30,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,41,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,19,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,40,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,29,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,28,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,22,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,21,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,13,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,20,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,20,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,18,2018-05-12,May
Cyprinidontiformes,Poeciliidae,Gambusia,affinis,G.affinis,Semi-Arid,23,2018-05-12,May
