Element,Taxa,Range Ext.,Site,R.Abundance,Aquatic,I.T.L,T.Group
C,Dytiscidae,47.50709163819399,Sub-Humid,1,41,0.9,I-Predator
C,Belostomatidae,22.052730815930747,Semi-Arid,1,62,0.3,I-Predator
C,Aeshnidae,21.806707251140605,Transition,1,22,1.4,I-Predator
C,L.macrochirus,19.16743779723,Sub-Humid,15,8,2.6,F-Invertivore
C,I.punctatus,8.516221412105168,Transition,3,34,1.9,F-Piscivore
C,E.gracile,6.065061960860789,Sub-Humid,2,5,2.1,F-Invertivore
C,P.latipinna,5.901314204425586,Semi-Arid,42,80,0.4,F-Herbivore
C,H.cyanoguttatus,5.6285642940917375,Semi-Arid,NA,60,0.7,F-Invertivore
C,Corbiculidae,2.626407072014997,Transition,2,31,0.2,I-Filterer
C,P.latipinna,2.6001908725044447,Transition,NA,39,1.6,F-Herbivore
C,Nepidae,2.0338983378006446,Semi-Arid,2,62,0.3,I-Predator
H,Belostomatidae,41.026890013408526,Semi-Arid,1,62,0.3,I-Predator
H,P.latipinna,36.18302654719941,Semi-Arid,42,80,0.4,F-Herbivore
H,L.macrochirus,33.36461292663529,Sub-Humid,15,8,2.6,F-Invertivore
H,Dytiscidae,24.26866141471838,Sub-Humid,1,41,0.9,I-Predator
H,Thiaridae,19.905061463857564,Transition,3,60,NA,I-Herbivore
H,Corduliidae,17.72125032948131,Sub-Humid,1,41,0.9,I-Predator
H,C.lutrensis,15.25926812669624,Transition,35,36,1.7,F-Invertivore
H,Corydalidae,12.869906086497798,Transition,NA,22,1.4,I-Predator
H,L.cyanellus,12.7896268008945,Transition,10,34,1.1,F-Piscivore
H,L.cyanellus,11.368314331870812,Semi-Arid,2,62,0.7,F-Piscivore
H,Coenagrionidae,7.504173134848187,Semi-Arid,3,46,0.3,I-Predator
H,M.salmoides,0.6496339081230342,Sub-Humid,3,10,2.1,F-Piscivore
N,L.macrochirus,49.226896947449944,Sub-Humid,15,8,2.6,F-Invertivore
N,L.oculatus,25.942528126840376,Semi-Arid,2,70,1.1,F-Piscivore
N,Aeshnidae,21.390235398821417,Semi-Arid,1,62,0.3,I-Predator
N,Nepidae,21.121883664372586,Semi-Arid,2,62,0.3,I-Predator
N,M.salmoides,14.896947982566205,Transition,5,34,1.9,F-Piscivore
N,Corbiculidae,14.643646032524426,Transition,2,31,0.2,I-Filterer
N,Coenagrionidae,14.510113415701328,Transition,4,25,1.4,I-Predator
N,Leptophlebiidae,10.748566241301418,Sub-Humid,4,46,NA,I-Gatherer
N,L.macrochirus,6.570721825308985,Transition,19,36,1.3,F-Invertivore
N,Palaemonidae,3.9431582497964364,Sub-Humid,4,46,NA,I-Gatherer
N,L.auritus,1.2394386605459644,Sub-Humid,9,5,2.1,F-Invertivore
N,L.gulosus,0.9924923988450414,Semi-Arid,2,63,0.7,F-Invertivore
