taxa,site,TL_mu,TL_bottom,TL_top,comparison,Aq_mu,Aq_bottom,Aq_top,guild
Corbiculidae,Semi-Arid,1,1,1,Species,41.2633328071188,13.314355227957394,72.98908170548265,Invertebrate
L.cyanellus,Semi-Arid,1.715561453230133,1.1727214815901463,2.255046178154947,Species,61.7813122634184,21.719214446396247,92.15943025467594,Fish
L.gulosus,Semi-Arid,1.7315214739219094,1.1247985175497752,2.331474710954919,Species,62.460103969963555,28.28966847759665,91.86907554950884,Fish
L.macrochirus,Semi-Arid,1.657947759902472,1.2481935496473726,2.0703009108459174,Species,61.096183652723326,25.36075261415329,91.36205346339264,Fish
P.latipinna,Semi-Arid,1.4337657989355044,1.2388592946161705,1.631124798151182,Species,80.42466344072066,60.53179705918065,96.2520975769728,Fish
Corbiculidae,Sub-Humid,1.767840699263285,1.6789354867283084,1.8533288856826056,Species,20.157252474669654,3.7890676572030735,48.35362237430386,Invertebrate
L.cyanellus,Sub-Humid,3.1745141655271634,2.9583206086906824,3.392082874110808,Species,17.62481347026546,2.796663670692092,45.363803484221265,Fish
L.gulosus,Sub-Humid,2.941071889977793,2.877554309758289,3.0030727066272727,Species,12.35102393564349,1.8581485075515,33.080075271308246,Fish
L.macrochirus,Sub-Humid,3.615083210977793,3.016218984637475,4.242239372559484,Species,7.819825457925096,1.425996087762143,18.70976249279931,Fish
P.latipinna,Sub-Humid,3.2494527032862575,2.844192865419742,3.662955011959951,Species,18.4884935939546,2.875850918685438,49.116474579720865,Fish
Corbiculidae,Transition,1.2282249685165352,0.8632472871916587,1.5942532470374884,Species,30.100698547458514,5.846109424020663,56.634682237513154,Invertebrate
L.cyanellus,Transition,2.103310911931767,1.952186399436456,2.25493531129988,Species,33.440845845998815,7.650910827114503,51.77999048669838,Fish
L.gulosus,Transition,2.828806598332984,2.7350595415017773,2.922466026101106,Species,34.86254540063127,8.453607644549347,66.71083641041284,Fish
L.macrochirus,Transition,2.335188139719538,2.1014627492000115,2.5588678951628125,Species,36.33608529214268,15.864170775156444,51.62638200491136,Fish
P.latipinna,Transition,2.5554026513736554,2.0651296494655984,3.0535258934623295,Species,39.09826939538259,8.231423144104914,76.27382922463494,Fish
F-Herbivore,Semi-Arid,1.4337657989355044,1.246304179549659,1.627030946075687,Trophic Category,79.95451177782552,60.27630593264001,96.5167209537698,Fish
F-Invertivore,Semi-Arid,1.7431058740646357,1.527335289012112,1.958890364036255,Trophic Category,60.39382161670904,44.52929477513014,76.5665994734975,Fish
F-Piscivore,Semi-Arid,2.0627869423145273,1.5299199191994934,2.608113281884505,Trophic Category,69.75813088025478,38.18828771580565,93.78793857567216,Fish
I-Filterer,Semi-Arid,1,1,1,Trophic Category,41.72976691788219,13.535429142702998,71.85717361081062,Invertebrate
I-Predator,Semi-Arid,1.3357576485509175,1.0533134896110354,1.6212465907691151,Trophic Category,61.84261506932235,30.84387373245266,86.85027023834037,Invertebrate
F-Herbivore,Sub-Humid,3.2494527032862575,2.843800707172709,3.6659280132706416,Trophic Category,18.16391485012126,2.558581432443178,51.149560058270374,Fish
F-Invertivore,Sub-Humid,3.114496104763974,2.90605083896381,3.319588925794857,Trophic Category,5.022030224468986,0.9841211127509918,10.995252845579266,Fish
F-Piscivore,Sub-Humid,3.0885335789200203,2.884429588394719,3.292064067899296,Trophic Category,10.014299109611605,1.9462562298621495,21.00657339747685,Fish
I-Filterer,Sub-Humid,1.767840699263285,1.6772684108854712,1.858041961289652,Trophic Category,19.818522191373685,3.751187874982584,48.70414236669757,Invertebrate
I-Predator,Sub-Humid,1.890653676104272,1.5010924200781832,2.277076226554094,Trophic Category,40.73270182107395,7.247493932247353,84.65073482378614,Invertebrate
F-Herbivore,Transition,2.5554026513736554,2.0610206553401476,3.0695478364582662,Trophic Category,39.22167849988739,7.884005925433309,78.74961169010074,Fish
F-Invertivore,Transition,2.703286658265757,2.507666412293368,2.8985477229126446,Trophic Category,36.10459441636493,29.946785196079382,41.79589769652097,Fish
F-Piscivore,Transition,2.889131145295738,2.472810141282444,3.2948525255388854,Trophic Category,33.597339254068054,22.722596611532765,41.71308358287191,Fish
I-Filterer,Transition,1.442602609866901,0.9525114666787332,1.9152846198088076,Trophic Category,30.457427870362203,9.330418318010333,50.62212632788465,Invertebrate
I-Predator,Transition,2.373874271817604,1.977528410050896,2.7482946923175087,Trophic Category,21.518389966963067,8.239187658498818,31.278740026954416,Invertebrate
