Site,Guild,Diversity,average,se,n,Month,Observed,Estimator,s.e.,LCL,UCL
Semi-Arid,Fish,Shannon-Wiener,3.808188763919,0.7293016235455784,3,July,5.08523825900529,5.332173751963128,0.5441234786059106,4.265711330752893,6.398636173173363
Semi-Arid,Fish,Shannon-Wiener,3.808188763919,0.7293016235455784,3,June,2.5593354043613608,2.588677549354312,0.16172895656469133,2.2716946192302743,2.9056604794783496
Semi-Arid,Fish,Shannon-Wiener,3.808188763919,0.7293016235455784,3,May,3.779992628390349,3.8832596717585246,0.3165104851581763,3.2629105201192004,4.503608823397849
Semi-Arid,Fish,Simpson,2.8767452843503163,0.48743178886935645,3,July,3.6441303011677935,3.7754838709677383,0.5789169112927042,2.640827574792869,4.9101401671426075
Semi-Arid,Fish,Simpson,2.8767452843503163,0.48743178886935645,3,June,1.9723710849112777,1.9830243197688444,0.13616820249660436,1.716139547035943,2.249909092501746
Semi-Arid,Fish,Simpson,2.8767452843503163,0.48743178886935645,3,May,3.013734466971877,3.0790006752194605,0.30376529870511004,2.4836316300043935,3.6743697204345276
Semi-Arid,Fish,Richness,6.333333333333333,0.881917103688197,3,July,8,8,0.765115799243647,8,9.499599410520126
Semi-Arid,Fish,Richness,6.333333333333333,0.881917103688197,3,June,5,5,0.5230073939969401,5,6.025075655882152
Semi-Arid,Fish,Richness,6.333333333333333,0.881917103688197,3,May,6,6,0.3540296196705317,6,6.693885304014655
Semi-Arid,Invertebrate,Shannon-Wiener,5.660567943027317,0.882423464645896,3,July,3.8973346242829887,3.9871038346946572,0.3236969488649469,3.3526694730138584,4.6215381963754565
Semi-Arid,Invertebrate,Shannon-Wiener,5.660567943027317,0.882423464645896,3,June,6.476841579624296,6.616842685088796,0.45439098225263685,5.726252724973849,7.5074326452037425
Semi-Arid,Invertebrate,Shannon-Wiener,5.660567943027317,0.882423464645896,3,May,6.607527625174665,6.795153039699273,0.48441269064371917,5.845721612383441,7.744584467015105
Semi-Arid,Invertebrate,Simpson,3.421965462896005,0.7048261785057518,3,July,2.0960412658124206,2.103267812255318,0.14385866741398756,1.8213100052599764,2.3852256192506593
Semi-Arid,Invertebrate,Simpson,3.421965462896005,0.7048261785057518,3,June,3.670459717796996,3.699953980671874,0.3201941663962564,3.072384946475387,4.327523014868362
Semi-Arid,Invertebrate,Simpson,3.421965462896005,0.7048261785057518,3,May,4.499395405078597,4.587603305785105,0.5057293457274963,3.5963920022342073,5.578814609336003
Semi-Arid,Invertebrate,Richness,13.666666666666666,1.3333333333333333,3,July,15,15,1.9357626771915748,15,18.79402512991232
Semi-Arid,Invertebrate,Richness,13.666666666666666,1.3333333333333333,3,June,15,15,0.7555658650560957,15,16.480881883457798
Semi-Arid,Invertebrate,Richness,13.666666666666666,1.3333333333333333,3,May,11,11,0.24208828782933955,11,11.474484325224472
Sub-Humid,Fish,Shannon-Wiener,4.81514867853538,0.9097078870512809,3,July,2.9999999999999996,7.184153153756982,2.4246238425195776,2.431977746361495,11.936328561152468
Sub-Humid,Fish,Shannon-Wiener,4.81514867853538,0.9097078870512809,3,June,5.830573726648054,7.428054849214794,1.718928723175815,4.059016459798777,10.797093238630811
Sub-Humid,Fish,Shannon-Wiener,4.81514867853538,0.9097078870512809,3,May,5.614872308958086,6.253153698116699,0.9377107517580311,4.41527439675498,8.091032999478418
Sub-Humid,Fish,Simpson,3.7335874898513888,0.3670992395693371,3,July,3.0000000000000004,Inf,NA,NA,NA
Sub-Humid,Fish,Simpson,3.7335874898513888,0.3670992395693371,3,June,4.126315789473684,4.66666666666667,1.3668742951416102,1.9876422767955422,7.345691056537797
Sub-Humid,Fish,Simpson,3.7335874898513888,0.3670992395693371,3,May,4.074446680080483,4.380530973451311,0.8801095830726451,2.6555478881803642,6.105514058722258
Sub-Humid,Fish,Richness,7,2,3,July,3,5,1.4354811251305468,3,7.813491305742906
Sub-Humid,Fish,Richness,7,2,3,June,9,12.857142857142858,5.614028854497277,9,23.860437220126173
Sub-Humid,Fish,Richness,7,2,3,May,9,9.651851851851852,1.9772832421645552,9,13.527255793728969
Sub-Humid,Invertebrate,Shannon-Wiener,4.314811728903528,1.2269640397513863,3,July,5.984454066444952,6.083210784429132,0.3415363957632812,5.413811749323482,6.752609819534781
Sub-Humid,Invertebrate,Shannon-Wiener,4.314811728903528,1.2269640397513863,3,June,1.9225750365662797,1.9276216432710453,0.05591133699835536,1.8180374364267873,2.0372058501153036
Sub-Humid,Invertebrate,Shannon-Wiener,4.314811728903528,1.2269640397513863,3,May,5.037406083699354,5.091568991088259,0.2868700498497494,4.5293140251395405,5.653823957036978
Sub-Humid,Invertebrate,Simpson,2.48357714453868,0.6125730444593569,3,July,3.3212577610045395,3.3390347341488176,0.22237750910438145,2.903182825332502,3.774886642965133
Sub-Humid,Invertebrate,Simpson,2.48357714453868,0.6125730444593569,3,June,1.2904916600258791,1.2906305183228242,0.019288855790087215,1.2528250556712663,1.328435980974382
Sub-Humid,Invertebrate,Simpson,2.48357714453868,0.6125730444593569,3,May,2.8389820125856216,2.8463232991904235,0.15535234594684824,2.541838296220794,3.150808302160053
Sub-Humid,Invertebrate,Richness,15.333333333333334,0.3333333333333333,3,July,15,15,0.4112356994903842,15,15.80600716015829
Sub-Humid,Invertebrate,Richness,15.333333333333334,0.3333333333333333,3,June,15,15,0,15,15
Sub-Humid,Invertebrate,Richness,15.333333333333334,0.3333333333333333,3,May,16,16,0.2598619591728184,16,16.509320080930742
Transition,Fish,Shannon-Wiener,4.594609065154236,0.7306886264488078,3,July,4.166436205292808,6.861302161922991,3.1797271431885004,0.629151480609095,13.093452843236886
Transition,Fish,Shannon-Wiener,4.594609065154236,0.7306886264488078,3,June,6.018744505672331,6.436860897520705,0.6439034463600012,5.1748333331338845,7.698888461907526
Transition,Fish,Shannon-Wiener,4.594609065154236,0.7306886264488078,3,May,3.598646484497569,3.6852730613214506,0.26115747496737524,3.1734138160919745,4.197132306550927
Transition,Fish,Simpson,3.7824209298790152,0.49615024584504885,3,July,3.521739130434783,5.1428571428571415,3.418360877903922,0,11.842721349709548
Transition,Fish,Simpson,3.7824209298790152,0.49615024584504885,3,June,4.741935483870968,5.046511627906978,0.6101907465099745,3.8505597410478183,6.242463514766137
Transition,Fish,Simpson,3.7824209298790152,0.49615024584504885,3,May,3.083588175331294,3.143681174619824,0.21738169776481814,2.7176208761026093,3.5697414731370385
Transition,Fish,Richness,6.666666666666667,1.2018504251546631,3,July,5,9,3.778533462412948,5,16.405789500708806
Transition,Fish,Richness,6.666666666666667,1.2018504251546631,3,June,9,9,1.8876729394598761,9,12.699770975932214
Transition,Fish,Richness,6.666666666666667,1.2018504251546631,3,May,6,6,0.7594975386994957,6,7.488587822197827
Transition,Invertebrate,Shannon-Wiener,14.467261104660746,1.3849440565916022,3,July,11.730690222242682,11.899665587332631,0.4269311666191434,11.062895876881441,12.736435297783821
Transition,Invertebrate,Shannon-Wiener,14.467261104660746,1.3849440565916022,3,June,15.464608580986946,15.815258076226684,0.6389846488814809,14.562871177745008,17.067644974708358
Transition,Invertebrate,Shannon-Wiener,14.467261104660746,1.3849440565916022,3,May,16.206484510752613,16.738740917397802,0.8264233715377781,15.118980873201593,18.35850096159401
Transition,Invertebrate,Simpson,9.675810950213018,0.8951497679716948,3,July,7.946856882287796,8.01826940795532,0.35394019765126156,7.324559367877859,8.71197944803278
Transition,Invertebrate,Simpson,9.675810950213018,0.8951497679716948,3,June,10.137898005979158,10.297383497726077,0.6102760033123654,9.101264510604794,11.49350248484736
Transition,Invertebrate,Simpson,9.675810950213018,0.8951497679716948,3,May,10.9426779623721,11.192758854049185,0.8018416020800317,9.621178192666425,12.764339515431944
Transition,Invertebrate,Richness,26.333333333333332,1.763834207376394,3,July,23,23,0.1255470227890025,23,23.246067643032674
Transition,Invertebrate,Richness,26.333333333333332,1.763834207376394,3,June,27,27,0.4128134436187139,27,27.809099481826635
Transition,Invertebrate,Richness,26.333333333333332,1.763834207376394,3,May,29,29,1.7841544934037508,29,32.496878549926656
