site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom,src_d15N_AQ_mu,src_d15N_TE_mu,percent_AQ_mu,percent_TE_mu,nitrogen_raw
Semi-Arid,I-Predator,Aeshnidae,3,NA,Invertebrate,-27.7301904,-90.14998583453556,4.704876201131615,7.36,0.173,0.122,0.4343917913771157,-86.95286225,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,17.12105706
Semi-Arid,I-Gatherer,Annelidae,2,NA,Invertebrate,-25.37448331,-86.3566824115666,0.5048999445679145,7.36,0.173,0.122,0.31607229912589563,-84.03039029,Animal,11.459444834363635,13.958484455,0.45083813808482853,0.5491618619151715,13.33672203
Semi-Arid,I-Predator,Belostomatidae,3,NA,Invertebrate,-22.14732558,-132.46586718453557,-3.3260334108683836,7.36,0.173,0.122,0.4343917913771157,-129.2687436,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,9.090147448
Semi-Arid,I-Predator,Belostomatidae,3,NA,Invertebrate,-22.57875804,-104.82308008453558,-4.451486208868383,7.36,0.173,0.122,0.4343917913771157,-101.6259565,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,7.96469465
Semi-Arid,F-Invertivore,C.lutrensis,2.82,80,Fish,-25.38521547,-96.37616057155368,1.5537117570017376,7.36,0.173,0.122,0.4147186143415337,-93.32383157,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,14.00294989
Semi-Arid,I-Gatherer,Chironomidae,2,NA,Invertebrate,-25.89821227,-92.4472953315666,1.1912251745679159,7.36,0.173,0.122,0.31607229912589563,-90.12100321,Animal,11.459444834363635,13.958484455,0.45083813808482853,0.5491618619151715,14.02304726
Semi-Arid,I-Predator,Coenagrionidae,3,NA,Invertebrate,-25.75010859,-100.25694889453555,0.8974291911316161,7.36,0.173,0.122,0.4343917913771157,-97.05982531,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,13.31361005
Semi-Arid,I-Predator,Coenagrionidae,3,NA,Invertebrate,-26.71385573,-78.32984397453558,1.6259589011316162,7.36,0.173,0.122,0.4343917913771157,-75.13272039,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,14.04213976
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.14290531,-95.6153618215666,-1.8711396457505023,7.36,0.173,0.122,0.31607229912589563,-93.2890697,Animal,11.459444834363635,13.958484455,0.41323046690493537,0.5867695330950646,11.0546655
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.39940371,-97.9124799515666,-2.7031708157505028,7.36,0.173,0.122,0.31607229912589563,-95.58618783,Animal,11.459444834363635,13.958484455,0.41323046690493537,0.5867695330950646,10.22263433
Semi-Arid,I-Filterer,Corbiculidae,2,NA,Invertebrate,-26.16544282,-92.2505690815666,-1.8620958257505036,7.36,0.173,0.122,0.31607229912589563,-89.92427696,Animal,11.459444834363635,13.958484455,0.41323046690493537,0.5867695330950646,11.06370932
