m_group,stat,site,mu,lower,upper,signif
Fish&Invert,N Range,Semi-Arid,0.25148690347001584,0.00911128357433643,0.7273563499871625,NA
Fish&Invert,D Range,Semi-Arid,5.77622771041515,5.159967942622789,6.386489700936313,∗∗
Fish&Invert,Centroid Distance,Semi-Arid,2.892510721126968,2.58368393790255,3.198236310845551,∗∗
Fish&Invert,Neighbor Distance,Semi-Arid,5.785021442253936,5.167367875805099,6.396472621691102,∗∗
Fish&Invert,N Range,Sub-Humid,0.6446704376299641,0.14363159841257556,1.1396453891834994,NA
Fish&Invert,D Range,Sub-Humid,3.0017142408098634,2.48870581468418,3.5257821453818874,∗
Fish&Invert,Centroid Distance,Sub-Humid,1.541432253772707,1.3193528001749428,1.7775497960423223,∗
Fish&Invert,Neighbor Distance,Sub-Humid,3.082864507545414,2.6387056003498857,3.5550995920846447,∗
Fish&Invert,N Range,Transition,0.28366419993127395,0.011902174256808796,0.7330533115807566,NA
Fish&Invert,D Range,Transition,0.8116150087970775,0.3259850603441113,1.3073988726198822,∗∗
Fish&Invert,Centroid Distance,Transition,0.4455279620282036,0.2391683000115125,0.6693148666740264,∗∗
Fish&Invert,Neighbor Distance,Transition,0.8910559240564072,0.478336600023025,1.3386297333480528,∗∗
Fish,N Range,Semi-Arid,0.3289345395287916,0.012002637577795652,0.9589015828532429,NA
Fish,D Range,Semi-Arid,5.030994130402635,4.220831593422907,5.8444562751227895,∗∗
Fish,Centroid Distance,Semi-Arid,2.52411222357327,2.1208723392244377,2.929881895635379,∗∗
Fish,Neighbor Distance,Semi-Arid,5.04822444714654,4.2417446784488755,5.859763791270758,∗∗
Fish,N Range,Sub-Humid,0.5944059752561116,0.0786539401185381,1.1371223665992698,NA
Fish,D Range,Sub-Humid,3.509109199177906,2.9404350008249986,4.071755893766875,∗
Fish,Centroid Distance,Sub-Humid,1.7844388051171467,1.4892932968797066,2.0748249814514885,∗
Fish,Neighbor Distance,Sub-Humid,3.5688776102342934,2.9785865937594136,4.149649962902977,∗
Fish,N Range,Transition,0.4712325890309269,0.03098673600255764,1.0525466356728659,NA
Fish,D Range,Transition,0.7198487780108334,0.12363683586003489,1.3459720745117008,∗∗
Fish,Centroid Distance,Transition,0.44567462513887446,0.12490850820520596,0.7997889399320068,∗∗
Fish,Neighbor Distance,Transition,0.8913492502777489,0.24981701641041193,1.5995778798640137,∗∗
Invertebrate,N Range,Semi-Arid,0.6606205957560387,0.03034169275165201,1.6994469478654768,NA
Invertebrate,D Range,Semi-Arid,3.5977664563511005,2.485898662197928,4.748885523567628,∗
Invertebrate,Centroid Distance,Semi-Arid,1.8455990844601915,1.3254417682988795,2.405510984026523,∗
