m_group,site,mu,lower,upper,signif,guild
Fish,Sub-Humid,4.930456714556879,1.1066374576380815,10.336341045259534,∗∗,Fish
Invertebrate,Sub-Humid,31.6426912651493,10.379915080524448,54.64274315006637,NA,Invertebrate
Fish,Transition,36.071224063582854,31.66848460666331,40.23951275980675,∗∗,Fish
Invertebrate,Transition,28.1637955613708,20.32407939706075,34.55688834929353,∗,Invertebrate
Fish,Semi-Arid,75.3590351251409,65.13976275765508,87.38679626329157,∗∗,Fish
Invertebrate,Semi-Arid,57.23411728522473,38.11576715931803,73.37608471139632,∗,Invertebrate
F-Herbivore,Sub-Humid,18.369662715182905,2.5669799958662636,51.32579115016589,∗,Fish
F-Invertivore,Sub-Humid,5.025940042173362,0.9928005238922905,11.1317000958035,∗∗,Fish
F-Piscivore,Sub-Humid,9.924207336469747,2.048460397757331,20.6426416123822,∗∗,Fish
I-Filterer,Sub-Humid,19.923374426056625,3.590868916044017,51.23626144934854,NA,Invertebrate
I-Gatherer,Sub-Humid,46.12067973051615,9.904455055886343,85.27413803876847,NA,Invertebrate
I-Predator,Sub-Humid,40.771281304867806,7.0506179788575745,85.33744793264655,NA,Invertebrate
F-Herbivore,Transition,39.11956613809093,8.114728629934058,77.12058612363457,NA,Fish
F-Invertivore,Transition,36.1280698013598,30.11100870182893,41.64562522012688,∗∗,Fish
F-Piscivore,Transition,33.55977886155126,21.96383098533918,41.809440946140654,∗,Fish
I-Filterer,Transition,30.616755328253575,10.136443221540748,50.43350152428357,NA,Invertebrate
I-Gatherer,Transition,27.002944958782255,11.08264673131451,41.62103361823216,NA,Invertebrate
I-Herbivore,Transition,59.67159567774348,33.073687440373476,91.19302042456638,NA,NA
I-Predator,Transition,21.634353606095154,8.262622158649133,31.66058843856821,NA,Invertebrate
F-Herbivore,Semi-Arid,80.03294901982892,60.27245095166591,96.42330480404752,∗,Fish
F-Invertivore,Semi-Arid,60.55581102167545,44.45667428022341,77.20317017674873,∗∗,Fish
F-Piscivore,Semi-Arid,69.90278926887132,41.562711433867065,92.42959192468678,∗,Fish
I-Filterer,Semi-Arid,41.50110156671403,12.945040820676232,73.19666421815543,NA,Invertebrate
I-Gatherer,Semi-Arid,45.68500918064233,6.323988677598711,91.81567710684187,NA,Invertebrate
I-Herbivore,Semi-Arid,54.5291316727509,17.28530262261034,91.40284849977417,NA,NA
I-Predator,Semi-Arid,61.57043748744098,29.99832828717517,86.34873823521792,NA,Invertebrate
< 100mm,Sub-Humid,6.483696099912104,1.202036503178166,14.92068798411283,∗∗,NA
< 150mm,Sub-Humid,9.392356694632111,1.7702220185159872,19.569369088111248,NA,NA
< 50mm,Sub-Humid,18.43455723204113,2.4490467255194375,50.99274054786191,∗,NA
> 150mm,Sub-Humid,7.239570328212921,1.3731981116537602,15.825074280519624,NA,NA
< 100mm,Transition,33.804725137193266,26.979336322967857,39.92834481144668,∗∗,NA
< 150mm,Transition,35.70040792362993,16.02259463168442,47.39824600256826,NA,NA
< 50mm,Transition,37.52850936515148,22.760160314680384,48.90445042208688,∗,NA
> 150mm,Transition,33.031952038094055,9.812760132456315,57.66195335180673,NA,NA
< 100mm,Semi-Arid,68.01276562744562,55.1279092789613,82.81339096537722,∗∗,NA
< 150mm,Semi-Arid,60.203526332898335,12.282527749217024,93.88799238902408,NA,NA
< 50mm,Semi-Arid,78.49933605915186,56.80567007987197,96.1788282659169,∗∗,NA
> 150mm,Semi-Arid,54.79723586035623,10.103242075540312,93.23241119318818,NA,NA
Coenagrionidae,Sub-Humid,30.37067627936751,4.423431740602068,73.92562618585366,NA,Invertebrate
Corbiculidae,Sub-Humid,20.157252474669654,3.7890676572030735,48.35362237430386,NA,Invertebrate
L.cyanellus,Sub-Humid,17.62481347026546,2.796663670692092,45.363803484221265,NA,Fish
L.gulosus,Sub-Humid,12.35102393564349,1.8581485075515,33.080075271308246,NA,Fish
L.macrochirus,Sub-Humid,7.819825457925096,1.425996087762143,18.70976249279931,∗,Fish
P.latipinna,Sub-Humid,18.4884935939546,2.875850918685438,49.116474579720865,∗,Fish
Coenagrionidae,Transition,25.219762436027075,6.377747433244433,49.58690940870813,NA,Invertebrate
Corbiculidae,Transition,30.100698547458514,5.846109424020663,56.634682237513154,NA,Invertebrate
L.cyanellus,Transition,33.440845845998815,7.650910827114503,51.77999048669838,NA,Fish
L.gulosus,Transition,34.86254540063127,8.453607644549347,66.71083641041284,NA,Fish
L.macrochirus,Transition,36.33608529214268,15.864170775156444,51.62638200491136,NA,Fish
P.latipinna,Transition,39.09826939538259,8.231423144104914,76.27382922463494,NA,Fish
Coenagrionidae,Semi-Arid,47.05612856704306,5.880490999610636,91.2882651180634,NA,Invertebrate
Corbiculidae,Semi-Arid,41.2633328071188,13.314355227957394,72.98908170548265,NA,Invertebrate
L.cyanellus,Semi-Arid,61.7813122634184,21.719214446396247,92.15943025467594,NA,Fish
L.gulosus,Semi-Arid,62.460103969963555,28.28966847759665,91.86907554950884,NA,Fish
L.macrochirus,Semi-Arid,61.096183652723326,25.36075261415329,91.36205346339264,∗,Fish
P.latipinna,Semi-Arid,80.42466344072066,60.53179705918065,96.2520975769728,∗,Fish
